source,source_id,source_name,source_team,fpl_id,fpl_name,method,confidence,flagged
understat,7382,Dan Burn,NEW,476,Dan Burn,override,1.0,False
understat,76,Fabian Schär,NEW,474,Fabian Schär,override,1.0,False
understat,9512,Valentino Livramento,NEW,477,Tino Livramento,override,1.0,False
understat,8327,Bruno Guimarães,NEW,488,Bruno Guimarães Rodriguez Moura,override,1.0,False
understat,7958,Sandro Tonali,NEW,491,Sandro Tonali,override,1.0,False
understat,87,Joelinton,NEW,490,Joelinton Cássio Apolinário de Lira,override,1.0,False
understat,9524,Anthony Elanga,NEW,486,Anthony Elanga,override,1.0,False
understat,8150,Anthony Gordon,NEW,485,Anthony Gordon,override,1.0,False
understat,6681,Harvey Barnes,NEW,487,Harvey Barnes,override,1.0,False
understat,9556,William Osula,NEW,500,William Osula,override,1.0,False
understat,6063,Jacob Murphy,NEW,489,Jacob Murphy,override,1.0,False
understat,11386,Lewis Miley,NEW,497,Lewis Miley,override,1.0,False
understat,11711,Bart Verbruggen,BHA,139,Bart Verbruggen,override,1.0,False
understat,12758,Mats Wieffer,BHA,173,Mats Wieffer,override,1.0,False
understat,6048,Lewis Dunk,BHA,146,Lewis Dunk,override,1.0,False
understat,10807,Jan Paul van Hecke,BHA,151,Jan Paul van Hecke,override,1.0,False
understat,13711,Maxim De Cuyper,BHA,145,Maxim De Cuyper,override,1.0,False
understat,11385,Yasin Ayari,BHA,166,Yasin Ayari,override,1.0,False
understat,10527,Carlos Baleba,BHA,167,Carlos Baleba,override,1.0,False
understat,12759,Yankuba Minteh,BHA,160,Yankuba Minteh,override,1.0,False
understat,13206,Matt O&#039;Riley,BHA,164,Matt O'Riley,override,1.0,False
understat,10806,Kaoru Mitoma,BHA,157,Mitoma Kaoru,override,1.0,False
understat,6937,Georginio Rutter,BHA,158,Georginio Rutter,override,1.0,False
understat,13364,Diego Gómez,BHA,169,Diego Gómez Amarilla,override,1.0,False
understat,501,Danny Welbeck,BHA,178,Danny Welbeck,override,1.0,False
understat,13066,Ferdi Kadioglu,BHA,148,Ferdi Kadıoğlu,override,1.0,False
understat,11310,Brajan Gruda,BHA,162,Brajan Gruda,override,1.0,False
understat,489,James Milner,BHA,170,James Milner,override,1.0,False
understat,181,Bernd Leno,FUL,314,Bernd Leno,override,1.0,False
understat,5973,Kenny Tete,FUL,322,Kenny Tete,override,1.0,False
understat,6314,Joachim Andersen,FUL,317,Joachim Andersen,override,1.0,False
understat,8489,Jorge Cuenca,FUL,321,Jorge Cuenca Barreno,override,1.0,False
understat,11728,Calvin Bassey,FUL,318,Calvin Bassey,override,1.0,False
understat,8285,Sander Berge,FUL,330,Sander Berge,override,1.0,False
understat,1537,Sasa Lukic,FUL,332,Saša Lukić,override,1.0,False
understat,5596,Harry Wilson,FUL,329,Harry Wilson,override,1.0,False
understat,12410,Joshua King,FUL,335,Josh King,override,1.0,False
understat,500,Alex Iwobi,FUL,324,Alex Iwobi,override,1.0,False
understat,4105,Raúl Jiménez,FUL,337,Raúl Jiménez Rodríguez,override,1.0,False
understat,900,Adama Traoré,FUL,326,Adama Traoré Diarra,override,1.0,False
understat,6157,Timothy Castagne,FUL,319,Timothy Castagne,override,1.0,False
understat,7230,Emile Smith-Rowe,FUL,325,Emile Smith Rowe,override,1.0,False
understat,10717,Rodrigo Muniz,FUL,338,Rodrigo Muniz Carvalho,override,1.0,False
understat,6835,Tom Cairney,FUL,331,Tom Cairney,override,1.0,False
understat,13712,Robin Roefs,SUN,670,Robin Roefs,override,1.0,False
understat,13713,Trai Hume,SUN,532,Trai Hume,override,1.0,False
understat,13715,Dan Ballard,SUN,531,Daniel Ballard,override,1.0,False
understat,13714,Jenson Seelt,SUN,542,Jenson Seelt,override,1.0,False
understat,7432,Reinildo,SUN,541,Reinildo Mandava,override,1.0,False
understat,9767,Habib Diarra,SUN,544,Habib Diarra,override,1.0,False
understat,204,Granit Xhaka,SUN,668,Granit Xhaka,override,1.0,False
