understat_match_id,kickoff_date,home,away,understat_id,understat_name,team,us_minutes,us_npxg,us_xg_chain,us_xg_buildup,us_shots,us_sot,us_shots_six_yard,us_shots_penalty_area,us_shots_out_of_box,us_shots_foot,us_shots_head
28780,2025-08-16,BHA,FUL,13711,Maxim De Cuyper,BHA,90,0.0,0.10298558324575424,0.08075278252363205,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,11385,Yasin Ayari,BHA,90,0.0,0.15787774324417114,0.15787774324417114,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,10527,Carlos Baleba,BHA,70,0.0193,0.13322719931602478,0.11395914107561111,1,0,0,0,1,1,0
28780,2025-08-16,BHA,FUL,12759,Yankuba Minteh,BHA,70,0.1414,0.22215090692043304,0.08075278252363205,1,0,0,1,0,1,0
28780,2025-08-16,BHA,FUL,13206,Matt O&#039;Riley,BHA,89,0.0,0.13860969245433807,0.11395914107561111,1,1,0,1,0,1,0
28780,2025-08-16,BHA,FUL,10806,Kaoru Mitoma,BHA,84,0.0808,0.22215090692043304,0.1413981318473816,1,0,0,1,0,0,1
28780,2025-08-16,BHA,FUL,6937,Georginio Rutter,BHA,70,0.0554,0.21610534191131592,0.16066619753837585,2,1,0,0,2,2,0
28780,2025-08-16,BHA,FUL,13364,Diego Gómez,BHA,20,0.0247,0.3382624387741089,0.0,1,1,0,0,1,1,0
28780,2025-08-16,BHA,FUL,501,Danny Welbeck,BHA,20,0.0,0.0,0.0,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,13066,Ferdi Kadioglu,BHA,20,0.0,0.0,0.0,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,11310,Brajan Gruda,BHA,6,0.3136,0.3136118948459625,0.0,1,0,0,1,0,1,0
28780,2025-08-16,BHA,FUL,489,James Milner,BHA,1,0.0,0.0,0.0,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,181,Bernd Leno,FUL,90,0.0,0.10877964645624161,0.10877964645624161,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,5973,Kenny Tete,FUL,90,0.0,0.09185106307268143,0.09185106307268143,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,6314,Joachim Andersen,FUL,90,0.0,0.10591968148946762,0.10591968148946762,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,8489,Jorge Cuenca,FUL,85,0.0,0.1507173627614975,0.1507173627614975,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,11728,Calvin Bassey,FUL,90,0.0,0.10877964645624161,0.10877964645624161,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,8285,Sander Berge,FUL,67,0.0,0.056006334722042084,0.056006334722042084,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,1537,Sasa Lukic,FUL,90,0.0,0.08040636777877808,0.04193772003054619,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,5596,Harry Wilson,FUL,90,0.0419,0.1478573977947235,0.10591968148946762,1,0,1,0,0,0,1
28780,2025-08-16,BHA,FUL,12410,Joshua King,FUL,78,0.0919,0.24256843328475952,0.1366487592458725,1,1,0,1,0,1,0
28780,2025-08-16,BHA,FUL,500,Alex Iwobi,FUL,67,0.0141,0.24256843328475952,0.0,1,0,0,0,1,1,0
28780,2025-08-16,BHA,FUL,4105,Raúl Jiménez,FUL,67,0.245,0.24499468505382538,0.0,2,0,1,1,0,2,0
28780,2025-08-16,BHA,FUL,900,Adama Traoré,FUL,23,0.0,0.0,0.0,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,6157,Timothy Castagne,FUL,5,0.0,0.03846864774823189,0.03846864774823189,0,0,0,0,0,0,0
28780,2025-08-16,BHA,FUL,7230,Emile Smith-Rowe,FUL,12,0.0385,0.03846864774823189,0.0,1,0,0,0,1,1,0
28780,2025-08-16,BHA,FUL,10717,Rodrigo Muniz,FUL,23,0.4854,0.0,0.0,1,1,1,0,0,1,0
28780,2025-08-16,BHA,FUL,6835,Tom Cairney,FUL,23,0.0,0.0,0.0,0,0,0,0,0,0,0
28781,2025-08-16,SUN,WHU,13712,Robin Roefs,SUN,90,0.0,0.0,0.0,0,0,0,0,0,0,0
28781,2025-08-16,SUN,WHU,13713,Trai Hume,SUN,90,0.0,0.3412873148918152,0.3412873148918152,0,0,0,0,0,0,0
28781,2025-08-16,SUN,WHU,13715,Dan Ballard,SUN,90,0.1079,0.03667960315942764,0.03667960315942764,4,2,3,1,0,0,4
28781,2025-08-16,SUN,WHU,13714,Jenson Seelt,SUN,53,0.0,0.30460771918296814,0.30460771918296814,0,0,0,0,0,0,0
28781,2025-08-16,SUN,WHU,7432,Reinildo,SUN,90,0.0,0.30460771918296814,0.30460771918296814,0,0,0,0,0,0,0
28781,2025-08-16,SUN,WHU,9767,Habib Diarra,SUN,90,0.3215,0.3215351402759552,0.0,2,1,0,1,1,2,0
28781,2025-08-16,SUN,WHU,204,Granit Xhaka,SUN,90,0.0,0.03667960315942764,0.03667960315942764,0,0,0,0,0,0,0
28781,2025-08-16,SUN,WHU,13716,Noah Sadiki,SUN,90,0.0,0.3412873148918152,0.3412873148918152,0,0,0,0,0,0,0
28781,2025-08-16,SUN,WHU,13717,Chemsdine Talbi,SUN,90,0.0,0.3971294164657593,0.30460771918296814,0,0,0,0,0,0,0
28781,2025-08-16,SUN,WHU,13718,Eliezer Mayenda,SUN,76,0.1267,0.3412873148918152,0.0,2,1,0,2,0,1,1
28781,2025-08-16,SUN,WHU,11710,Simon Adingra,SUN,76,0.0757,0.39722907543182373,0.30460771918296814,1,0,0,1,0,1,0
28781,2025-08-16,SUN,WHU,8651,Enzo Le Fée,SUN,14,0.0,0.0,0.0,0,0,0,0,0,0,0
