element,web_name,team,position,gw_from_fixture,total_points_6gw,minutes_6gw,starts_last6,personas,flags,persona_count
145,De Cuyper,BHA,DEF,38,23.0,259.0,3,None,Minutes Risk,0
146,Dunk,BHA,DEF,38,18.0,272.0,3,None,Minutes Risk,0
147,Estupiñan,BHA,DEF,38,0.0,0.0,0,None,Minutes Risk,0
148,F.Kadıoğlu,BHA,DEF,38,26.0,540.0,6,"Attacking Defender, Budget Enabler, Bonus Magnet",Minutes Monster,3
149,Igor,BHA,DEF,38,0.0,0.0,0,None,Minutes Risk,0
150,Lamptey,BHA,DEF,38,0.0,0.0,0,None,Minutes Risk,0
151,Van Hecke,BHA,DEF,38,23.0,540.0,6,"Scoring Defender, Bonus Magnet",Minutes Monster,2
152,Veltman,BHA,DEF,38,9.0,203.0,1,None,Minutes Risk,0
153,Webster,BHA,DEF,38,0.0,0.0,0,None,Minutes Risk,0
154,Cashin,BHA,DEF,38,0.0,0.0,0,None,Minutes Risk,0
155,Slater,BHA,DEF,38,0.0,0.0,0,None,Minutes Risk,0
156,Tasker,BHA,DEF,38,0.0,0.0,0,None,Minutes Risk,0
157,Mitoma,BHA,MID,38,10.0,282.0,3,None,Minutes Risk,0
158,Georginio,BHA,MID,38,16.0,162.0,1,None,Minutes Risk,0
159,March,BHA,MID,38,3.0,34.0,0,None,Minutes Risk,0
160,Minteh,BHA,MID,38,19.0,481.0,5,Bonus Magnet,,1
161,Enciso,BHA,MID,38,0.0,0.0,0,None,Minutes Risk,0
162,Gruda,BHA,MID,38,0.0,0.0,0,None,Minutes Risk,0
163,Hinshelwood,BHA,MID,38,30.0,492.0,6,"Goal Machine, Captaincy King, Bonus Magnet",,3
164,O'Riley,BHA,MID,38,2.0,16.0,0,None,Minutes Risk,0
165,Sima,BHA,MID,38,0.0,0.0,0,None,Minutes Risk,0
166,Ayari,BHA,MID,38,5.0,111.0,1,None,Minutes Risk,0
167,Baleba,BHA,MID,38,14.0,356.0,4,None,Minutes Risk,0
168,Buonanotte,LEE,MID,38,1.0,12.0,0,None,Minutes Risk,0
169,Gomez,BHA,MID,38,3.0,102.0,2,None,Minutes Risk,0
170,Milner,BHA,MID,38,1.0,58.0,1,None,Minutes Risk,0
171,Sarmiento,BHA,MID,38,0.0,0.0,0,None,Minutes Risk,0
172,Watson,BHA,MID,38,0.0,0.0,0,None,Minutes Risk,0
173,Wieffer,BHA,MID,38,5.0,242.0,4,None,Minutes Risk,0
174,Yalcouye,BHA,MID,38,0.0,0.0,0,None,Minutes Risk,0
175,Knight,BHA,MID,38,0.0,0.0,0,None,Minutes Risk,0
176,Mazilu,BHA,MID,38,0.0,0.0,0,None,Minutes Risk,0
177,Moran,BHA,MID,38,0.0,0.0,0,None,Minutes Risk,0
178,Welbeck,BHA,FWD,38,18.0,358.0,5,Metronome,,1
179,Ferguson,BHA,FWD,38,0.0,0.0,0,None,Minutes Risk,0
180,Tzimas,BHA,FWD,38,0.0,0.0,0,None,Minutes Risk,0
181,Kostoulas,BHA,FWD,38,5.0,59.0,0,None,Minutes Risk,0
182,Trafford,MCI,GKP,38,2.0,90.0,1,None,Minutes Risk,0
183,Weiss,BUR,GKP,38,7.0,270.0,3,None,Minutes Risk,0
184,Green,BUR,GKP,38,0.0,0.0,0,None,Minutes Risk,0
185,Hladký,BUR,GKP,38,0.0,0.0,0,None,Minutes Risk,0
186,Roberts,BUR,DEF,38,0.0,0.0,0,None,Minutes Risk,0
187,Walker,BUR,DEF,38,7.0,540.0,6,Emerging Contributor,Minutes Monster,1
188,Delcroix,BUR,DEF,38,0.0,0.0,0,None,Minutes Risk,0
189,Dodgson,BUR,DEF,38,0.0,0.0,0,None,Minutes Risk,0
190,Ekdal,BUR,DEF,38,7.0,270.0,3,None,Minutes Risk,0
191,Estève,BUR,DEF,38,14.0,441.0,5,Defensive Workhorse,,1
192,Hartman,BUR,DEF,38,8.0,244.0,3,None,Minutes Risk,0
193,Humphreys,BUR,DEF,38,5.0,254.0,3,None,Minutes Risk,0
194,Jordan,BUR,DEF,38,0.0,0.0,0,None,Minutes Risk,0
195,Lucas Pires,BUR,DEF,38,5.0,295.0,3,None,Minutes Risk,0
196,Sambo,BUR,DEF,38,0.0,0.0,0,None,Minutes Risk,0
197,Sonne,BUR,DEF,38,0.0,0.0,0,None,Minutes Risk,0
198,Tuanzebe,BUR,DEF,38,7.0,270.0,3,None,Minutes Risk,0
199,Worrall,BUR,DEF,38,0.0,0.0,0,None,Minutes Risk,0
200,Anthony,BUR,MID,38,20.0,519.0,6,"Metronome, Bonus Magnet",Minutes Monster,2
201,Benson,BUR,MID,38,0.0,0.0,0,None,Minutes Risk,0
202,Bruun Larsen,BUR,MID,38,4.0,30.0,0,None,Minutes Risk,0
203,Boateng,BUR,MID,38,0.0,0.0,0,None,Minutes Risk,0
204,Churlinov,BUR,MID,38,0.0,0.0,0,None,Minutes Risk,0
205,Cullen,BUR,MID,38,0.0,0.0,0,None,Minutes Risk,0
206,Edwards,BUR,MID,38,4.0,81.0,1,None,Minutes Risk,0
207,Hannibal,BUR,MID,38,7.0,238.0,3,None,Minutes Risk,0
208,Koleosho,BUR,MID,38,0.0,0.0,0,None,Minutes Risk,0
209,Laurent,BUR,MID,38,6.0,176.0,2,None,Minutes Risk,0
210,Tchaouna,BUR,MID,38,20.0,413.0,5,Metronome,,1
211,A.Ramsey,BUR,MID,38,0.0,0.0,0,None,Minutes Risk,0
212,Adewumi,BUR,MID,38,0.0,0.0,0,None,Minutes Risk,0
213,Banel,BUR,MID,38,0.0,0.0,0,None,Minutes Risk,0
214,Trésor,BUR,MID,38,1.0,3.0,0,None,Minutes Risk,0
215,Flemming,BUR,FWD,38,26.0,492.0,6,"Goal Machine, Clinical Finisher, Captaincy King, Bonus Magnet",,4
216,Amdouni,BUR,FWD,38,4.0,69.0,0,None,Minutes Risk,0
217,Foster,BUR,FWD,38,3.0,65.0,0,None,Minutes Risk,0
218,Barnes,BUR,FWD,38,0.0,5.0,0,None,Minutes Risk,0
219,Obafemi,BUR,FWD,38,0.0,0.0,0,None,Minutes Risk,0
220,Sánchez,CHE,GKP,38,9.0,426.0,5,Liability,,1
221,Jörgensen,CHE,GKP,38,3.0,114.0,1,None,Minutes Risk,0
222,Penders,CHE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
223,Slonina,CHE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
224,Cucurella,CHE,DEF,38,10.0,540.0,6,None,Minutes Monster,0
225,James,CHE,DEF,38,2.0,65.0,0,None,Minutes Risk,0
226,Chalobah,CHE,DEF,38,5.0,230.0,2,None,Minutes Risk,0
227,Colwill,CHE,DEF,38,8.0,225.0,2,None,Minutes Risk,0
228,Gusto,CHE,DEF,38,4.0,434.0,5,Attacking Defender,,1
229,B.Badiashile,CHE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
230,Fofana,CHE,DEF,38,7.0,356.0,5,Emerging Contributor,,1
231,M.Sarr,CHE,DEF,38,1.0,9.0,0,None,Minutes Risk,0
232,Tosin,CHE,DEF,38,0.0,45.0,1,None,Minutes Risk,0
233,Acheampong,CHE,DEF,38,5.0,88.0,1,None,Minutes Risk,0
234,Anselmino,CHE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
235,Palmer,CHE,MID,38,14.0,448.0,5,Goal Machine,,1
236,Neto,CHE,MID,38,15.0,332.0,4,None,Minutes Risk,0
237,Enzo,CHE,MID,38,28.0,537.0,6,"Creative Wizard, Captaincy King, Chaos Merchant, Bonus Magnet",Minutes Monster,4
238,Estêvão,CHE,MID,38,1.0,15.0,1,None,Minutes Risk,0
239,Gittens,CHE,MID,38,0.0,0.0,0,None,Minutes Risk,0
240,Nkunku,CHE,MID,38,0.0,0.0,0,None,Minutes Risk,0
241,Caicedo,CHE,MID,38,12.0,534.0,6,Bonus Magnet,Minutes Monster,1
242,Dewsbury-Hall,EVE,MID,38,25.0,533.0,6,"Creative Wizard, Emerging Contributor, Captaincy King, Bonus Magnet",Minutes Monster,4
243,George,EVE,MID,38,5.0,90.0,0,None,Minutes Risk,0
244,Lavia,CHE,MID,38,4.0,131.0,2,None,Minutes Risk,0
245,Mudryk,CHE,MID,38,0.0,0.0,0,None,Minutes Risk,0
246,Andrey Santos,CHE,MID,38,13.0,184.0,2,None,Minutes Risk,0
247,D.Essugo,CHE,MID,38,1.0,18.0,0,None,Minutes Risk,0
248,Paez,CHE,MID,38,0.0,0.0,0,None,Minutes Risk,0
249,João Pedro,CHE,FWD,38,11.0,270.0,3,None,Minutes Risk,0
250,Delap,CHE,FWD,38,6.0,299.0,3,None,Minutes Risk,0
251,N.Jackson,CHE,FWD,38,0.0,0.0,0,None,Minutes Risk,0
252,Marc Guiu,CHE,FWD,38,1.0,18.0,0,None,Minutes Risk,0
253,Henderson,CRY,GKP,38,7.0,540.0,6,Liability,Minutes Monster,1
254,Benitez,CRY,GKP,38,0.0,0.0,0,None,Minutes Risk,0
255,Matthews,CRY,GKP,38,0.0,0.0,0,None,Minutes Risk,0
256,Muñoz,CRY,DEF,38,16.0,441.0,6,None,,0
257,Lacroix,CRY,DEF,38,11.0,420.0,5,Defensive Workhorse,,1
258,Mitchell,CRY,DEF,38,9.0,405.0,4,None,Minutes Risk,0
259,Sosa,CRY,DEF,38,0.0,45.0,0,None,Minutes Risk,0
260,Guéhi,MCI,DEF,38,28.0,450.0,5,"Reliable Shieldwall, Bonus Magnet",,2
261,Richards,CRY,DEF,38,6.0,313.0,3,None,Minutes Risk,0
262,Chadi Riad,CRY,DEF,38,6.0,238.0,3,None,Minutes Risk,0
263,Clyne,CRY,DEF,38,2.0,98.0,1,None,Minutes Risk,0
264,Holding,CRY,DEF,38,0.0,0.0,0,None,Minutes Risk,0
265,Kporha,CRY,DEF,38,0.0,0.0,0,None,Minutes Risk,0
266,Eze,ARS,MID,38,18.0,355.0,5,"Goal Machine, Metronome",,2
267,Sarr,CRY,MID,38,22.0,390.0,4,None,Minutes Risk,0
268,Doucouré,CRY,MID,38,0.0,0.0,0,None,Minutes Risk,0
269,Esse,CRY,MID,38,0.0,0.0,0,None,Minutes Risk,0
270,Hughes,CRY,MID,38,3.0,149.0,2,None,Minutes Risk,0
271,Kamada,CRY,MID,38,12.0,375.0,5,None,,0
272,Lerma,CRY,MID,38,7.0,296.0,3,None,Minutes Risk,0
273,Wharton,CRY,MID,38,20.0,361.0,3,None,Minutes Risk,0
274,Agbinone,CRY,MID,38,0.0,0.0,0,None,Minutes Risk,0
275,Ahamada,CRY,MID,38,0.0,0.0,0,None,Minutes Risk,0
276,Devenny,CRY,MID,38,6.0,180.0,2,None,Minutes Risk,0
277,Ebiowei,CRY,MID,38,0.0,0.0,0,None,Minutes Risk,0
278,J.Rak-Sakyi,CRY,MID,38,0.0,0.0,0,None,Minutes Risk,0
279,M.França,CRY,MID,38,0.0,0.0,0,None,Minutes Risk,0
280,Ozoh,CRY,MID,38,0.0,0.0,0,None,Minutes Risk,0
281,Rodney,CRY,MID,38,0.0,0.0,0,None,Minutes Risk,0
282,Umeh,CRY,MID,38,0.0,0.0,0,None,Minutes Risk,0
283,Mateta,CRY,FWD,38,16.0,220.0,2,None,Minutes Risk,0
284,Nketiah,CRY,FWD,38,0.0,0.0,0,None,Minutes Risk,0
285,Édouard,CRY,FWD,38,0.0,0.0,0,None,Minutes Risk,0
286,Marsh,CRY,FWD,38,0.0,0.0,0,None,Minutes Risk,0
287,Pickford,EVE,GKP,38,9.0,540.0,6,Liability,Minutes Monster,1
288,Travers,EVE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
289,Tyrer,EVE,GKP,38,0.0,0.0,0,None,Minutes Risk,0
290,Branthwaite,EVE,DEF,38,4.0,86.0,1,None,Minutes Risk,0
291,Tarkowski,EVE,DEF,38,25.0,540.0,6,"Attacking Defender, Defensive Workhorse, Bonus Magnet",Minutes Monster,3
292,Mykolenko,EVE,DEF,38,8.0,540.0,6,None,Minutes Monster,0
293,O'Brien,EVE,DEF,38,10.0,482.0,6,Scoring Defender,,1
294,Coleman,EVE,DEF,38,2.0,8.0,0,None,Minutes Risk,0
295,Keane,EVE,DEF,38,13.0,453.0,5,None,,0
296,Patterson,EVE,DEF,38,1.0,1.0,0,None,Minutes Risk,0
297,Dixon,EVE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
298,Welch,EVE,DEF,38,0.0,0.0,0,None,Minutes Risk,0
299,Ndiaye,EVE,MID,38,14.0,540.0,6,"Goal Machine, Wasteful Striker, Metronome",Minutes Monster,3
300,McNeil,EVE,MID,38,5.0,145.0,2,None,Minutes Risk,0
301,Alcaraz,EVE,MID,38,3.0,12.0,0,None,Minutes Risk,0
302,Gana,EVE,MID,38,4.0,175.0,2,None,Minutes Risk,0
303,Garner,EVE,MID,38,17.0,540.0,6,"Defensive Contributor, Metronome, Bonus Magnet",Minutes Monster,3
304,Iroegbunam,EVE,MID,38,10.0,360.0,4,None,Minutes Risk,0
305,Armstrong,EVE,MID,38,2.0,29.0,0,None,Minutes Risk,0
306,Bates,EVE,MID,38,0.0,0.0,0,None,Minutes Risk,0
307,Ebere,EVE,MID,38,0.0,0.0,0,None,Minutes Risk,0
308,Heath,EVE,MID,38,0.0,0.0,0,None,Minutes Risk,0
309,Metcalfe,EVE,MID,38,0.0,0.0,0,None,Minutes Risk,0
310,Barry,EVE,FWD,38,18.0,253.0,2,None,Minutes Risk,0
311,Beto,EVE,FWD,38,21.0,282.0,4,None,Minutes Risk,0
312,Y.Chermiti,EVE,FWD,38,0.0,0.0,0,None,Minutes Risk,0
313,Sherif,EVE,FWD,38,0.0,0.0,0,None,Minutes Risk,0
314,Leno,FUL,GKP,38,31.0,540.0,6,"Shot Stopper, Overperformer, Bonus Magnet",Minutes Monster,3
315,Benda,FUL,GKP,38,0.0,0.0,0,None,Minutes Risk,0
316,Robinson,FUL,DEF,38,22.0,378.0,4,None,Minutes Risk,0
317,Andersen,FUL,DEF,38,18.0,321.0,4,None,Minutes Risk,0
318,Bassey,FUL,DEF,38,23.0,540.0,6,"Reliable Shieldwall, Emerging Contributor, Budget Enabler, Bonus Magnet",Minutes Monster,4
319,Castagne,FUL,DEF,38,28.0,532.0,6,"Reliable Shieldwall, Attacking Defender, Budget Enabler, Bonus Magnet",Minutes Monster,4
320,Diop,FUL,DEF,38,18.0,220.0,2,None,Minutes Risk,0
321,J.Cuenca,FUL,DEF,38,0.0,4.0,0,None,Minutes Risk,0
322,Tete,FUL,DEF,38,0.0,0.0,0,None,Minutes Risk,0
323,Amissah,FUL,DEF,38,0.0,0.0,0,None,Minutes Risk,0
324,Iwobi,FUL,MID,38,6.0,198.0,3,None,Minutes Risk,0
325,Smith Rowe,FUL,MID,38,14.0,412.0,6,Metronome,,1
326,Adama,WHU,MID,38,1.0,16.0,0,None,Minutes Risk,0
327,Andreas,FUL,MID,38,0.0,0.0,0,None,Minutes Risk,0
328,Sessegnon,FUL,MID,38,14.0,160.0,2,None,Minutes Risk,0
329,Wilson,FUL,MID,38,14.0,333.0,4,None,Minutes Risk,0
330,Berge,FUL,MID,38,7.0,225.0,3,None,Minutes Risk,0
331,Cairney,FUL,MID,38,12.0,211.0,2,None,Minutes Risk,0
332,Lukić,FUL,MID,38,15.0,450.0,5,"Metronome, Bonus Magnet",,2
333,Godo,FUL,MID,38,0.0,0.0,0,None,Minutes Risk,0
334,Harris,FUL,MID,38,0.0,0.0,0,None,Minutes Risk,0
335,King,FUL,MID,38,5.0,118.0,0,None,Minutes Risk,0
