element,web_name,team,position,opponent_tier,games_played,avg_pts,avg_xg,avg_xa,total_goals,total_assists,total_cs,avg_bonus
85,Adams,BOU,MID,Tier 1 - Top 6,12,1.75,0.037,0.013,1,0,1,0.08
85,Adams,BOU,MID,Tier 2 - Mid Upper,9,1.67,0.004,0.022,0,1,2,0.0
85,Adams,BOU,MID,Tier 3 - Rest,19,2.42,0.008,0.022,1,2,4,0.11
90,Scott,BOU,MID,Tier 1 - Top 6,12,4.0,0.074,0.076,1,2,2,0.25
90,Scott,BOU,MID,Tier 2 - Mid Upper,9,3.67,0.106,0.142,1,0,2,0.33
90,Scott,BOU,MID,Tier 3 - Rest,19,3.16,0.105,0.084,1,0,7,0.16
97,Evanilson,BOU,FWD,Tier 1 - Top 6,12,4.42,0.386,0.028,5,2,3,0.42
97,Evanilson,BOU,FWD,Tier 2 - Mid Upper,9,2.44,0.324,0.059,0,2,2,0.0
97,Evanilson,BOU,FWD,Tier 3 - Rest,19,2.42,0.227,0.037,1,4,6,0.05
100,Kroupi.Jr,BOU,FWD,Tier 1 - Top 6,12,3.42,0.234,0.023,6,0,1,0.42
100,Kroupi.Jr,BOU,FWD,Tier 2 - Mid Upper,9,1.89,0.13,0.039,1,0,2,0.33
100,Kroupi.Jr,BOU,FWD,Tier 3 - Rest,19,3.42,0.246,0.061,7,0,8,0.42
101,Kelleher,BRE,GKP,Tier 1 - Top 6,12,3.25,0.0,0.002,0,0,1,0.17
101,Kelleher,BRE,GKP,Tier 2 - Mid Upper,8,4.0,0.0,0.001,0,0,3,0.38
101,Kelleher,BRE,GKP,Tier 3 - Rest,18,4.0,0.0,0.01,0,0,6,0.33
106,Collins,BRE,DEF,Tier 1 - Top 6,12,2.42,0.018,0.067,0,0,1,0.25
106,Collins,BRE,DEF,Tier 2 - Mid Upper,8,3.0,0.028,0.092,0,0,2,0.12
106,Collins,BRE,DEF,Tier 3 - Rest,18,4.22,0.1,0.009,1,2,6,0.17
107,Lewis-Potter,BRE,DEF,Tier 1 - Top 6,12,2.17,0.087,0.046,1,1,1,0.0
107,Lewis-Potter,BRE,DEF,Tier 2 - Mid Upper,8,1.38,0.02,0.005,0,0,1,0.0
107,Lewis-Potter,BRE,DEF,Tier 3 - Rest,18,4.33,0.101,0.107,2,3,7,0.28
110,Kayode,BRE,DEF,Tier 1 - Top 6,12,1.75,0.061,0.064,0,0,1,0.0
110,Kayode,BRE,DEF,Tier 2 - Mid Upper,8,3.75,0.012,0.035,0,1,3,0.25
110,Kayode,BRE,DEF,Tier 3 - Rest,18,3.44,0.025,0.102,1,1,6,0.39
119,Mbeumo,MUN,MID,Tier 1 - Top 6,10,5.5,0.343,0.115,5,0,4,0.6
119,Mbeumo,MUN,MID,Tier 2 - Mid Upper,10,3.6,0.231,0.094,3,0,2,0.4
119,Mbeumo,MUN,MID,Tier 3 - Rest,18,3.17,0.347,0.161,3,3,2,0.33
120,Schade,BRE,MID,Tier 1 - Top 6,12,3.0,0.252,0.032,3,1,1,0.08
120,Schade,BRE,MID,Tier 2 - Mid Upper,8,4.38,0.459,0.041,4,0,2,0.5
120,Schade,BRE,MID,Tier 3 - Rest,18,3.0,0.299,0.074,1,4,8,0.0
121,Damsgaard,BRE,MID,Tier 1 - Top 6,12,2.17,0.019,0.156,0,1,0,0.17
121,Damsgaard,BRE,MID,Tier 2 - Mid Upper,8,2.25,0.041,0.151,0,1,2,0.0
121,Damsgaard,BRE,MID,Tier 3 - Rest,18,3.83,0.114,0.131,4,2,3,0.39
126,Jensen,BRE,MID,Tier 1 - Top 6,12,2.75,0.05,0.114,2,0,0,0.08
126,Jensen,BRE,MID,Tier 2 - Mid Upper,8,2.62,0.081,0.114,0,2,2,0.0
126,Jensen,BRE,MID,Tier 3 - Rest,18,2.44,0.053,0.21,1,0,7,0.0
129,Yarmoliuk,BRE,MID,Tier 1 - Top 6,12,2.5,0.026,0.025,0,1,1,0.0
129,Yarmoliuk,BRE,MID,Tier 2 - Mid Upper,8,2.38,0.035,0.041,0,1,1,0.0
129,Yarmoliuk,BRE,MID,Tier 3 - Rest,18,3.06,0.035,0.042,1,1,6,0.06
136,Thiago,BRE,FWD,Tier 1 - Top 6,12,2.92,0.343,0.034,3,0,1,0.25
136,Thiago,BRE,FWD,Tier 2 - Mid Upper,8,4.38,0.551,0.105,4,1,3,0.38
136,Thiago,BRE,FWD,Tier 3 - Rest,18,6.17,0.671,0.032,15,0,6,0.89
139,Verbruggen,BHA,GKP,Tier 1 - Top 6,14,2.43,0.0,0.001,0,0,2,0.0
139,Verbruggen,BHA,GKP,Tier 2 - Mid Upper,8,3.12,0.0,0.002,0,0,1,0.0
139,Verbruggen,BHA,GKP,Tier 3 - Rest,18,4.39,0.0,0.002,0,0,8,0.33
145,De Cuyper,BHA,DEF,Tier 1 - Top 6,14,1.57,0.05,0.068,1,2,0,0.07
145,De Cuyper,BHA,DEF,Tier 2 - Mid Upper,8,0.62,0.01,0.024,0,0,0,0.0
145,De Cuyper,BHA,DEF,Tier 3 - Rest,18,3.44,0.049,0.169,1,2,5,0.44
146,Dunk,BHA,DEF,Tier 1 - Top 6,14,1.0,0.028,0.009,0,1,0,0.0
146,Dunk,BHA,DEF,Tier 2 - Mid Upper,8,2.0,0.014,0.008,0,0,1,0.0
146,Dunk,BHA,DEF,Tier 3 - Rest,18,3.89,0.074,0.021,1,0,6,0.28
148,F.Kadıoğlu,BHA,DEF,Tier 1 - Top 6,14,3.0,0.097,0.058,2,0,2,0.43
148,F.Kadıoğlu,BHA,DEF,Tier 2 - Mid Upper,8,2.75,0.02,0.084,0,1,1,0.0
148,F.Kadıoğlu,BHA,DEF,Tier 3 - Rest,18,3.89,0.052,0.107,0,1,8,0.22
151,Van Hecke,BHA,DEF,Tier 1 - Top 6,14,3.21,0.054,0.039,0,2,2,0.0
151,Van Hecke,BHA,DEF,Tier 2 - Mid Upper,8,5.38,0.141,0.029,2,1,2,0.38
151,Van Hecke,BHA,DEF,Tier 3 - Rest,18,4.0,0.089,0.048,1,1,7,0.28
160,Minteh,BHA,MID,Tier 1 - Top 6,14,2.64,0.133,0.149,1,2,2,0.14
160,Minteh,BHA,MID,Tier 2 - Mid Upper,8,3.12,0.114,0.109,0,3,0,0.5
160,Minteh,BHA,MID,Tier 3 - Rest,18,3.28,0.059,0.139,2,3,10,0.17
163,Hinshelwood,BHA,MID,Tier 1 - Top 6,14,2.86,0.18,0.076,2,1,2,0.07
163,Hinshelwood,BHA,MID,Tier 2 - Mid Upper,8,3.88,0.191,0.03,2,3,1,0.12
163,Hinshelwood,BHA,MID,Tier 3 - Rest,18,1.67,0.109,0.06,1,1,5,0.0
167,Baleba,BHA,MID,Tier 1 - Top 6,14,1.14,0.024,0.052,0,0,2,0.0
167,Baleba,BHA,MID,Tier 2 - Mid Upper,8,1.5,0.024,0.024,0,0,1,0.0
167,Baleba,BHA,MID,Tier 3 - Rest,18,1.72,0.014,0.007,0,0,5,0.0
178,Welbeck,BHA,FWD,Tier 1 - Top 6,14,3.79,0.212,0.031,7,0,0,0.57
178,Welbeck,BHA,FWD,Tier 2 - Mid Upper,8,5.12,0.305,0.03,4,1,2,1.0
178,Welbeck,BHA,FWD,Tier 3 - Rest,18,2.22,0.411,0.041,3,0,8,0.17
183,Weiss,BUR,GKP,Tier 1 - Top 6,13,0.15,0.0,0.0,0,0,0,0.0
183,Weiss,BUR,GKP,Tier 2 - Mid Upper,10,0.2,0.0,0.0,0,0,0,0.0
183,Weiss,BUR,GKP,Tier 3 - Rest,17,0.18,0.0,0.0,0,0,0,0.0
187,Walker,BUR,DEF,Tier 1 - Top 6,13,1.08,0.003,0.043,0,1,0,0.0
187,Walker,BUR,DEF,Tier 2 - Mid Upper,10,1.4,0.008,0.007,0,0,1,0.0
187,Walker,BUR,DEF,Tier 3 - Rest,17,2.53,0.002,0.042,0,1,3,0.18
191,Estève,BUR,DEF,Tier 1 - Top 6,13,2.0,0.022,0.028,0,0,0,0.0
191,Estève,BUR,DEF,Tier 2 - Mid Upper,10,1.8,0.009,0.01,0,0,1,0.0
191,Estève,BUR,DEF,Tier 3 - Rest,17,2.76,0.024,0.008,0,0,2,0.0
195,Lucas Pires,BUR,DEF,Tier 1 - Top 6,13,0.62,0.005,0.016,0,0,0,0.0
195,Lucas Pires,BUR,DEF,Tier 2 - Mid Upper,10,0.4,0.021,0.075,0,0,0,0.0
195,Lucas Pires,BUR,DEF,Tier 3 - Rest,17,0.76,0.019,0.029,0,0,1,0.0
198,Tuanzebe,BUR,DEF,Tier 1 - Top 6,13,1.31,0.047,0.001,1,0,0,0.0
198,Tuanzebe,BUR,DEF,Tier 2 - Mid Upper,10,0.4,0.0,0.002,0,0,0,0.0
198,Tuanzebe,BUR,DEF,Tier 3 - Rest,17,0.76,0.0,0.005,0,0,1,0.0
200,Anthony,BUR,MID,Tier 1 - Top 6,13,3.0,0.132,0.071,3,0,1,0.0
200,Anthony,BUR,MID,Tier 2 - Mid Upper,10,3.2,0.158,0.035,2,2,1,0.0
200,Anthony,BUR,MID,Tier 3 - Rest,17,3.53,0.111,0.098,3,2,2,0.35
207,Hannibal,BUR,MID,Tier 1 - Top 6,13,0.85,0.026,0.008,0,0,0,0.0
207,Hannibal,BUR,MID,Tier 2 - Mid Upper,10,1.7,0.021,0.069,0,3,1,0.2
207,Hannibal,BUR,MID,Tier 3 - Rest,17,1.82,0.021,0.075,1,2,1,0.12
210,Tchaouna,BUR,MID,Tier 1 - Top 6,13,1.46,0.022,0.018,0,1,1,0.0
210,Tchaouna,BUR,MID,Tier 2 - Mid Upper,10,1.3,0.045,0.03,0,0,1,0.0
210,Tchaouna,BUR,MID,Tier 3 - Rest,17,1.76,0.032,0.022,2,1,0,0.0
215,Flemming,BUR,FWD,Tier 1 - Top 6,13,1.77,0.052,0.006,2,0,0,0.31
