element,web_name,team,position,opponent_tier,games_played,avg_pts,avg_xg,avg_xa,total_goals,total_assists,total_cs,avg_bonus
736,Donnarumma,MCI,GKP,Tier 3 - Rest,19,4.63,0.0,0.007,0,0,11,0.21
749,Mané,WOL,FWD,Tier 1 - Top 6,11,2.0,0.059,0.078,0,1,2,0.0
749,Mané,WOL,FWD,Tier 2 - Mid Upper,7,1.57,0.067,0.164,0,0,2,0.0
749,Mané,WOL,FWD,Tier 3 - Rest,12,3.75,0.09,0.143,3,1,2,0.75
783,Groß,BHA,MID,Tier 1 - Top 6,8,4.88,0.04,0.189,0,4,2,1.25
783,Groß,BHA,MID,Tier 2 - Mid Upper,4,2.5,0.12,0.175,0,0,1,0.25
783,Groß,BHA,MID,Tier 3 - Rest,9,5.0,0.072,0.25,1,4,4,0.44
791,Taty,WHU,FWD,Tier 1 - Top 6,6,2.5,0.238,0.012,1,0,2,0.17
791,Taty,WHU,FWD,Tier 2 - Mid Upper,4,2.5,0.318,0.1,1,0,1,0.0
791,Taty,WHU,FWD,Tier 3 - Rest,8,4.5,0.381,0.042,4,1,6,0.5
796,Gallagher,TOT,MID,Tier 1 - Top 6,5,2.6,0.116,0.044,0,1,0,0.0
796,Gallagher,TOT,MID,Tier 2 - Mid Upper,3,4.33,0.027,0.037,1,0,0,1.0
796,Gallagher,TOT,MID,Tier 3 - Rest,9,2.0,0.063,0.041,0,0,2,0.0
807,Rayan,BOU,MID,Tier 1 - Top 6,3,2.33,0.253,0.073,0,0,1,0.0
807,Rayan,BOU,MID,Tier 2 - Mid Upper,4,5.75,0.122,0.082,2,1,1,0.5
807,Rayan,BOU,MID,Tier 3 - Rest,10,4.8,0.175,0.156,4,2,4,0.1
814,Netz,NFO,DEF,Tier 1 - Top 6,5,1.0,0.0,0.0,0,0,0,0.0
814,Netz,NFO,DEF,Tier 2 - Mid Upper,4,1.0,0.0,0.008,0,0,0,0.0
814,Netz,NFO,DEF,Tier 3 - Rest,5,0.4,0.0,0.076,0,0,0,0.0
815,Disasi,WHU,DEF,Tier 1 - Top 6,4,1.0,0.0,0.002,0,0,0,0.0
815,Disasi,WHU,DEF,Tier 2 - Mid Upper,4,2.25,0.27,0.002,0,0,1,0.0
815,Disasi,WHU,DEF,Tier 3 - Rest,6,6.0,0.003,0.002,0,0,5,0.17
817,Armstrong,WOL,FWD,Tier 1 - Top 6,5,2.2,0.06,0.074,0,1,1,0.0
817,Armstrong,WOL,FWD,Tier 2 - Mid Upper,3,3.67,0.157,0.017,1,1,1,0.0
817,Armstrong,WOL,FWD,Tier 3 - Rest,8,2.62,0.254,0.056,1,0,2,0.12
