element,web_name,team,position,total_mins_season,starts_last4,pts_per90_season,pts_per90_4gw,pts_delta,xg_per90_season,xg_per90_4gw,xg_delta,xa_per90_season,xa_per90_4gw,xa_delta,xgi_per90_season,xgi_per90_4gw,xgi_delta,saves_per90_season,saves_per90_4gw,saves_delta,streak,pts_threshold_used,total_points_per90_season,goals_scored_per90_season,assists_per90_season,clean_sheets_per90_season,expected_goals_per90_season,expected_assists_per90_season,expected_goal_involvements_per90_season,expected_goals_conceded_per90_season,bonus_per90_season,bps_per90_season,clearances_blocks_interceptions_per90_season,tackles_per90_season,defensive_contribution_per90_season,total_points_per90_4gw,goals_scored_per90_4gw,assists_per90_4gw,clean_sheets_per90_4gw,expected_goals_per90_4gw,expected_assists_per90_4gw,expected_goal_involvements_per90_4gw,expected_goals_conceded_per90_4gw,bonus_per90_4gw,bps_per90_4gw,clearances_blocks_interceptions_per90_4gw,tackles_per90_4gw,defensive_contribution_per90_4gw,total_points_delta,goals_scored_delta,assists_delta,clean_sheets_delta,expected_goals_delta,expected_assists_delta,expected_goal_involvements_delta,expected_goals_conceded_delta,bonus_delta,bps_delta,clearances_blocks_interceptions_delta,tackles_delta,defensive_contribution_delta
388,C.Jones,LIV,MID,1923,4,3.791,3.75,-0.041,0.103,0.18,0.077,0.13,0.048,-0.082,0.233,0.227,-0.006,0.0,0.0,0.0,Neutral,0.758,3.791,0.047,0.14,0.14,0.103,0.13,0.233,1.471,0.281,20.92,2.48,1.872,11.092,3.75,0.25,0.0,0.0,0.18,0.048,0.227,1.562,0.75,22.0,2.75,1.5,9.5,-0.041,0.203,-0.14,-0.14,0.077,-0.082,-0.006,0.091,0.469,1.08,0.27,-0.372,-1.592
390,Gravenberch,LIV,MID,2991,4,4.333,4.404,0.071,0.057,0.063,0.006,0.068,0.044,-0.024,0.125,0.107,-0.018,0.0,0.0,0.0,Neutral,0.867,4.333,0.15,0.15,0.271,0.057,0.068,0.125,1.156,0.512,20.191,3.37,1.775,8.967,4.404,0.275,0.0,0.0,0.063,0.044,0.107,1.327,0.826,20.367,2.752,1.651,6.33,0.071,0.125,-0.15,-0.271,0.006,-0.024,-0.018,0.171,0.314,0.176,-0.618,-0.124,-2.637
407,Matheus N.,MCI,DEF,2861,3,4.844,3.038,-1.806,0.011,0.0,-0.011,0.07,0.027,-0.043,0.081,0.027,-0.054,0.0,0.0,0.0,🧊 Cold,0.969,4.844,0.031,0.252,0.377,0.011,0.07,0.081,1.098,0.503,21.265,4.341,1.793,6.134,3.038,0.0,0.0,0.38,0.0,0.027,0.027,1.003,0.0,17.468,4.177,0.38,4.557,-1.806,-0.031,-0.252,0.003,-0.011,-0.043,-0.054,-0.095,-0.503,-3.797,-0.164,-1.413,-1.577
416,Bernardo,MCI,MID,2869,4,3.2,2.883,-0.317,0.085,0.141,0.056,0.129,0.077,-0.052,0.214,0.218,0.004,0.0,0.0,0.0,Neutral,0.64,3.2,0.063,0.125,0.408,0.085,0.129,0.214,1.116,0.125,16.751,1.945,1.694,8.219,2.883,0.0,0.0,0.641,0.141,0.077,0.218,0.631,0.0,15.053,1.922,3.523,11.21,-0.317,-0.063,-0.125,0.233,0.056,-0.052,0.004,-0.485,-0.125,-1.698,-0.023,1.829,2.991
437,Martinez,MUN,DEF,1229,3,3.735,5.0,1.265,0.011,0.03,0.019,0.044,0.013,-0.031,0.055,0.043,-0.012,0.0,0.0,0.0,🔥 Hot,0.747,3.735,0.0,0.0,0.366,0.011,0.044,0.055,1.115,0.22,17.648,6.298,1.391,7.689,5.0,0.0,0.0,0.667,0.03,0.013,0.043,1.307,0.0,24.0,6.333,2.0,8.333,1.265,0.0,0.0,0.301,0.019,-0.031,-0.012,0.192,-0.22,6.352,0.035,0.609,0.644
442,Maguire,MUN,DEF,1649,4,4.912,5.0,0.088,0.061,0.05,-0.011,0.027,0.028,0.001,0.088,0.078,-0.01,0.0,0.0,0.0,Neutral,0.982,4.912,0.055,0.109,0.382,0.061,0.027,0.088,1.253,0.273,17.192,7.041,1.201,8.241,5.0,0.0,0.0,0.5,0.05,0.028,0.078,1.202,0.5,19.75,8.25,2.0,10.25,0.088,-0.055,-0.109,0.118,-0.011,0.001,-0.01,-0.051,0.227,2.558,1.209,0.799,2.009
443,Shaw,MUN,DEF,3220,4,3.158,5.128,1.97,0.02,0.031,0.011,0.055,0.11,0.055,0.075,0.141,0.066,0.0,0.0,0.0,🔥 Hot,0.632,3.158,0.028,0.028,0.28,0.02,0.055,0.075,1.255,0.084,12.55,4.165,2.096,6.261,5.128,0.256,0.0,0.513,0.031,0.11,0.141,1.174,0.0,18.718,5.641,1.795,7.436,1.97,0.228,-0.028,0.233,0.011,0.055,0.066,-0.081,-0.084,6.168,1.476,-0.301,1.175
449,B.Fernandes,MUN,MID,3065,4,6.9,7.75,0.85,0.317,0.102,-0.215,0.361,0.518,0.157,0.677,0.62,-0.057,0.0,0.0,0.0,Neutral,1.38,6.9,0.264,0.705,0.206,0.317,0.361,0.677,1.304,1.204,29.599,1.967,1.556,8.427,7.75,0.25,1.0,0.5,0.102,0.518,0.62,1.202,1.25,33.5,1.5,1.0,6.75,0.85,-0.014,0.295,0.294,-0.215,0.157,-0.057,-0.102,0.046,3.901,-0.467,-0.556,-1.677
450,Cunha,MUN,MID,2493,3,5.162,6.353,1.191,0.249,0.261,0.012,0.121,0.222,0.101,0.37,0.484,0.114,0.0,0.0,0.0,🔥 Hot,1.032,5.162,0.361,0.144,0.289,0.249,0.121,0.37,1.291,0.505,21.336,1.661,1.408,7.617,6.353,0.706,0.0,0.353,0.261,0.222,0.484,1.327,0.706,30.0,2.118,1.412,8.471,1.191,0.345,-0.144,0.064,0.012,0.101,0.114,0.036,0.201,8.664,0.457,0.004,0.854
452,Amad,MUN,MID,2339,3,3.501,3.913,0.412,0.21,0.102,-0.108,0.182,0.358,0.176,0.392,0.461,0.069,0.0,0.0,0.0,Neutral,0.7,3.501,0.077,0.192,0.231,0.21,0.182,0.392,1.219,0.269,17.815,1.847,1.462,7.619,3.913,0.0,0.301,0.602,0.102,0.358,0.461,1.385,0.301,13.545,0.903,0.903,4.816,0.412,-0.077,0.109,0.371,-0.108,0.176,0.069,0.166,0.032,-4.27,-0.944,-0.559,-2.803
458,Mainoo,MUN,MID,1653,4,3.975,5.0,1.025,0.026,0.06,0.034,0.069,0.022,-0.047,0.095,0.082,-0.013,0.0,0.0,0.0,🔥 Hot,0.795,3.975,0.054,0.109,0.327,0.026,0.069,0.095,1.246,0.109,18.512,3.049,1.96,10.181,5.0,0.25,0.0,0.5,0.06,0.022,0.082,1.202,0.5,21.0,4.0,0.75,10.25,1.025,0.196,-0.109,0.173,0.034,-0.047,-0.013,-0.044,0.391,2.488,0.951,-1.21,0.069
469,Pope,NEW,GKP,2416,4,3.576,3.0,-0.576,0.006,0.0,-0.006,0.0,0.0,0.0,0.006,0.0,-0.006,3.315,4.75,1.435,Neutral,0.715,3.576,0.0,0.037,0.261,0.006,0.0,0.006,1.225,0.112,15.422,1.304,0.037,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.348,0.0,17.5,0.5,0.0,0.0,-0.576,0.0,-0.037,-0.261,-0.006,0.0,-0.006,0.123,-0.112,2.078,-0.804,-0.037,0.0
473,Hall,NEW,DEF,2176,3,3.267,1.541,-1.726,0.042,0.049,0.007,0.115,0.074,-0.041,0.157,0.123,-0.034,0.0,0.0,0.0,🧊 Cold,0.653,3.267,0.041,0.083,0.165,0.042,0.115,0.157,1.56,0.165,14.352,4.922,2.233,7.155,1.541,0.0,0.0,0.0,0.049,0.074,0.123,1.35,0.0,11.096,4.623,1.541,6.164,-1.726,-0.041,-0.083,-0.165,0.007,-0.041,-0.034,-0.21,-0.165,-3.256,-0.299,-0.692,-0.991
475,Botman,NEW,DEF,1834,4,4.368,3.75,-0.618,0.085,0.028,-0.057,0.042,0.092,0.05,0.127,0.12,-0.007,0.0,0.0,0.0,Neutral,0.874,4.368,0.049,0.049,0.245,0.085,0.042,0.127,1.353,0.294,16.292,9.569,1.031,10.6,3.75,0.0,0.0,0.0,0.028,0.092,0.12,1.348,0.0,14.75,13.25,1.5,14.75,-0.618,-0.049,-0.049,-0.245,-0.057,0.05,-0.007,-0.005,-0.294,-1.542,3.681,0.469,4.15
476,Burn,NEW,DEF,2195,3,3.813,3.561,-0.252,0.044,0.055,0.011,0.015,0.01,-0.005,0.059,0.065,0.006,0.0,0.0,0.0,Neutral,0.763,3.813,0.041,0.123,0.246,0.044,0.015,0.059,1.236,0.205,11.727,7.585,1.64,9.226,3.561,0.324,0.0,0.0,0.055,0.01,0.065,1.47,0.0,14.245,4.209,2.266,6.475,-0.252,0.283,-0.123,-0.246,0.011,-0.005,0.006,0.234,-0.205,2.518,-3.376,0.626,-2.751
488,Bruno G.,NEW,MID,2456,4,5.643,4.567,-1.076,0.205,0.145,-0.06,0.182,0.263,0.081,0.387,0.408,0.021,0.0,0.0,0.0,Neutral,1.129,5.643,0.33,0.257,0.22,0.205,0.182,0.387,1.172,0.806,24.955,2.015,2.272,9.198,4.567,0.0,0.269,0.0,0.145,0.263,0.408,1.29,0.806,19.881,2.687,2.149,11.284,-1.076,-0.33,0.012,-0.22,-0.06,0.081,0.021,0.118,0.0,-5.074,0.672,-0.123,2.086
489,J.Murphy,NEW,MID,1606,3,4.595,6.257,1.662,0.172,0.01,-0.162,0.149,0.111,-0.038,0.321,0.12,-0.201,0.0,0.0,0.0,🔥 Hot,0.919,4.595,0.168,0.112,0.448,0.172,0.149,0.321,1.365,0.28,17.597,1.513,0.897,5.044,6.257,0.0,0.481,0.481,0.01,0.111,0.12,1.463,1.444,20.214,3.85,0.481,6.257,1.662,-0.168,0.369,0.033,-0.162,-0.038,-0.201,0.098,1.164,2.617,2.337,-0.416,1.213
491,Tonali,NEW,MID,2534,3,2.877,1.552,-1.325,0.062,0.023,-0.039,0.102,0.089,-0.013,0.164,0.112,-0.052,0.0,0.0,0.0,🧊 Cold,0.575,2.877,0.0,0.071,0.249,0.062,0.102,0.164,1.285,0.071,16.942,2.664,1.243,9.128,1.552,0.0,0.0,0.0,0.023,0.089,0.112,1.144,0.0,16.681,3.879,1.164,9.698,-1.325,0.0,-0.071,-0.249,-0.039,-0.013,-0.052,-0.141,-0.071,-0.261,1.215,-0.079,0.57
500,Osula,NEW,FWD,805,4,8.497,8.182,-0.315,0.479,0.711,0.232,0.069,0.148,0.079,0.548,0.859,0.311,0.0,0.0,0.0,Neutral,1.699,8.497,0.783,0.112,0.224,0.479,0.069,0.548,1.619,1.453,31.752,0.224,0.671,3.466,8.182,0.944,0.0,0.315,0.711,0.148,0.859,1.167,1.888,33.671,0.0,0.944,2.203,-0.315,0.161,-0.112,0.091,0.232,0.079,0.311,-0.452,0.435,1.919,-0.224,0.273,-1.263
502,Sels,NFO,GKP,2667,4,3.543,4.0,0.457,0.0,0.0,0.0,0.002,0.0,-0.002,0.002,0.0,-0.002,3.206,4.25,1.044,Neutral,0.709,3.543,0.0,0.0,0.236,0.0,0.002,0.002,1.523,0.101,14.544,0.877,0.034,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.287,0.0,15.75,1.0,0.0,0.0,0.457,0.0,0.0,-0.236,0.0,-0.002,-0.002,0.764,-0.101,1.206,0.123,-0.034,0.0
505,Milenković,NFO,DEF,3375,3,3.173,2.286,-0.887,0.022,0.006,-0.016,0.018,0.063,0.045,0.04,0.069,0.029,0.0,0.0,0.0,🧊 Cold,0.635,3.173,0.0,0.027,0.24,0.022,0.018,0.04,1.466,0.053,10.693,7.493,0.8,8.293,2.286,0.0,0.0,0.0,0.006,0.063,0.069,2.291,0.0,5.714,6.571,0.857,7.429,-0.887,0.0,-0.027,-0.24,-0.016,0.045,0.029,0.825,-0.053,-4.979,-0.922,0.057,-0.864
508,N.Williams,NFO,DEF,3203,3,3.597,1.714,-1.883,0.056,0.031,-0.025,0.112,0.034,-0.078,0.168,0.066,-0.102,0.0,0.0,0.0,🧊 Cold,0.719,3.597,0.056,0.084,0.253,0.056,0.112,0.168,1.443,0.421,14.92,4.243,2.697,6.94,1.714,0.0,0.0,0.0,0.031,0.034,0.066,2.517,0.0,8.857,6.0,3.429,9.429,-1.883,-0.056,-0.084,-0.253,-0.025,-0.078,-0.102,1.074,-0.421,-6.063,1.757,0.732,2.489
511,Morato,NFO,DEF,1340,4,3.56,4.0,0.44,0.089,0.122,0.033,0.01,0.018,0.008,0.099,0.14,0.041,0.0,0.0,0.0,Neutral,0.712,3.56,0.067,0.0,0.134,0.089,0.01,0.099,1.635,0.067,12.761,7.657,2.015,9.672,4.0,0.25,0.0,0.0,0.122,0.018,0.14,2.287,0.0,9.0,7.5,1.25,8.75,0.44,0.183,0.0,-0.134,0.033,0.008,0.041,0.652,-0.067,-3.761,-0.157,-0.765,-0.922
517,Anderson,NFO,MID,3332,3,4.862,8.408,3.546,0.079,0.044,-0.035,0.129,0.343,0.214,0.209,0.386,0.177,0.0,0.0,0.0,🔥 Hot,0.972,4.862,0.108,0.135,0.27,0.079,0.129,0.209,1.449,0.432,21.474,2.863,2.782,13.911,8.408,0.311,0.623,0.0,0.044,0.343,0.386,2.457,1.869,32.699,3.737,2.803,14.325,3.546,0.203,0.488,-0.27,-0.035,0.214,0.177,1.008,1.437,11.225,0.874,0.021,0.414
519,Dominguez,NFO,MID,1168,3,3.699,2.446,-1.253,0.113,0.157,0.044,0.059,0.024,-0.035,0.173,0.181,0.008,0.0,0.0,0.0,🧊 Cold,0.74,3.699,0.077,0.077,0.231,0.113,0.059,0.173,1.788,0.231,17.646,2.235,4.315,11.019,2.446,0.0,0.0,0.0,0.157,0.024,0.181,2.27,0.0,19.076,4.402,4.891,13.696,-1.253,-0.077,-0.077,-0.231,0.044,-0.035,0.008,0.482,-0.231,1.43,2.167,0.576,2.677
526,Igor Jesus,NFO,FWD,2293,4,4.474,3.0,-1.474,0.254,0.396,0.142,0.049,0.012,-0.037,0.304,0.408,0.104,0.0,0.0,0.0,🧊 Cold,0.895,4.474,0.235,0.235,0.353,0.254,0.049,0.304,1.522,0.51,15.975,1.491,0.942,4.828,3.0,0.3,0.0,0.0,0.396,0.012,0.408,2.184,0.0,14.7,0.9,0.9,5.4,-1.474,0.065,-0.235,-0.353,0.142,-0.037,0.104,0.662,-0.51,-1.275,-0.591,-0.042,0.572
532,Hume,SUN,DEF,3032,4,3.265,4.665,1.4,0.067,0.071,0.004,0.061,0.088,0.027,0.128,0.159,0.031,0.0,0.0,0.0,🔥 Hot,0.653,3.265,0.059,0.03,0.267,0.067,0.061,0.128,1.403,0.178,11.369,4.007,2.018,6.026,4.665,0.274,0.0,0.274,0.071,0.088,0.159,0.914,0.0,15.915,1.921,1.372,3.293,1.4,0.215,-0.03,0.007,0.004,0.027,0.031,-0.489,-0.178,4.546,-2.086,-0.646,-2.733
541,Reinildo,SUN,DEF,1966,4,3.388,3.695,0.307,0.006,0.0,-0.006,0.028,0.011,-0.017,0.034,0.011,-0.023,0.0,0.0,0.0,Neutral,0.678,3.388,0.0,0.092,0.275,0.006,0.028,0.034,1.223,0.275,12.864,5.722,1.785,7.508,3.695,0.0,0.0,0.264,0.0,0.011,0.011,1.011,0.0,17.683,5.015,2.111,7.126,0.307,0.0,-0.092,-0.011,-0.006,-0.017,-0.023,-0.212,-0.275,4.819,-0.707,0.326,-0.382
547,E.Le Fée,SUN,MID,2930,4,4.515,6.25,1.735,0.16,0.115,-0.045,0.183,0.34,0.157,0.343,0.455,0.112,0.0,0.0,0.0,🔥 Hot,0.903,4.515,0.154,0.184,0.307,0.16,0.183,0.343,1.428,0.491,19.075,2.365,2.734,9.799,6.25,0.25,0.25,0.25,0.115,0.34,0.455,1.068,1.5,27.0,1.25,3.5,10.25,1.735,0.096,0.066,-0.057,-0.045,0.157,0.112,-0.36,1.009,7.925,-1.115,0.766,0.451
552,Sadiki,SUN,MID,2891,4,2.49,2.752,0.262,0.045,0.127,0.082,0.045,0.03,-0.015,0.09,0.157,0.067,0.0,0.0,0.0,Neutral,0.498,2.49,0.0,0.062,0.28,0.045,0.045,0.09,1.289,0.0,12.764,2.771,1.432,7.721,2.752,0.0,0.0,0.275,0.127,0.03,0.157,0.914,0.0,12.661,1.927,0.275,7.982,0.262,0.0,-0.062,-0.005,0.082,-0.015,0.067,-0.375,0.0,-0.103,-0.844,-1.157,0.261
567,Kinsky,TOT,GKP,630,4,2.857,2.75,-0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.429,1.5,0.071,Neutral,0.571,2.857,0.0,0.0,0.286,0.0,0.0,0.0,0.793,0.0,10.857,1.429,0.0,0.0,2.75,0.0,0.0,0.25,0.0,0.0,0.0,0.675,0.0,9.25,0.75,0.0,0.0,-0.107,0.0,0.0,-0.036,0.0,0.0,0.0,-0.118,0.0,-1.607,-0.679,0.0,0.0
568,Pedro Porro,TOT,DEF,2793,4,3.77,3.75,-0.02,0.034,0.04,0.006,0.141,0.23,0.089,0.175,0.27,0.095,0.0,0.0,0.0,Neutral,0.754,3.77,0.032,0.097,0.29,0.034,0.141,0.175,1.216,0.258,16.176,4.576,2.449,7.025,3.75,0.0,0.0,0.25,0.04,0.23,0.27,0.675,0.5,19.0,3.75,4.0,7.75,-0.02,-0.032,-0.097,-0.04,0.006,0.089,0.095,-0.541,0.242,2.824,-0.826,1.551,0.725
570,Danso,TOT,DEF,1489,4,3.808,4.25,0.442,0.037,0.082,0.045,0.017,0.01,-0.007,0.054,0.092,0.038,0.0,0.0,0.0,Neutral,0.762,3.808,0.0,0.0,0.242,0.037,0.017,0.054,1.218,0.06,13.237,9.973,1.632,11.605,4.25,0.0,0.0,0.25,0.082,0.01,0.092,0.675,0.0,14.25,9.0,1.25,10.25,0.442,0.0,0.0,0.008,0.045,-0.007,0.038,-0.543,-0.06,1.013,-0.973,-0.382,-1.355
574,Udogie,TOT,DEF,1335,4,1.955,2.991,1.036,0.012,0.005,-0.007,0.049,0.014,-0.035,0.061,0.019,-0.042,0.0,0.0,0.0,🔥 Hot,0.391,1.955,0.0,0.067,0.067,0.012,0.049,0.061,1.291,0.067,8.157,2.494,2.09,4.584,2.991,0.0,0.0,0.272,0.005,0.014,0.019,0.56,0.272,11.964,2.719,2.175,4.894,1.036,0.0,-0.067,0.205,-0.007,-0.035,-0.042,-0.731,0.205,3.807,0.225,0.085,0.31
575,Van de Ven,TOT,DEF,3041,4,3.433,2.5,-0.933,0.083,0.008,-0.075,0.011,0.005,-0.006,0.095,0.012,-0.083,0.0,0.0,0.0,🧊 Cold,0.687,3.433,0.118,0.03,0.266,0.083,0.011,0.095,1.272,0.296,12.756,5.15,1.125,6.274,2.5,0.0,0.0,0.25,0.008,0.005,0.012,0.675,0.0,12.75,3.25,0.75,4.0,-0.933,-0.118,-0.03,-0.016,-0.075,-0.006,-0.083,-0.597,-0.296,-0.006,-1.9,-0.375,-2.274
584,Tel,TOT,MID,1334,4,5.262,5.089,-0.173,0.167,0.088,-0.079,0.164,0.268,0.104,0.33,0.356,0.026,0.0,0.0,0.0,Neutral,1.052,5.262,0.27,0.135,0.202,0.167,0.164,0.33,1.166,0.472,17.946,1.282,1.349,7.489,5.089,0.268,0.268,0.536,0.088,0.268,0.356,0.576,0.536,16.875,1.875,0.268,6.161,-0.173,-0.002,0.133,0.334,-0.079,0.104,0.026,-0.59,0.064,-1.071,0.593,-1.081,-1.328
585,Bentancur,TOT,MID,1880,4,4.117,3.975,-0.142,0.034,0.06,0.026,0.04,0.017,-0.023,0.075,0.077,0.002,0.0,0.0,0.0,Neutral,0.823,4.117,0.048,0.048,0.383,0.034,0.04,0.075,1.132,0.191,17.521,4.356,2.681,13.309,3.975,0.0,0.0,0.568,0.06,0.017,0.077,0.537,0.284,18.454,3.407,3.407,12.492,-0.142,-0.048,-0.048,0.185,0.026,-0.023,0.002,-0.595,0.093,0.933,-0.949,0.726,-0.817
597,Richarlison,TOT,FWD,1954,4,5.481,5.263,-0.218,0.398,0.539,0.141,0.067,0.05,-0.017,0.465,0.589,0.124,0.0,0.0,0.0,Neutral,1.096,5.481,0.507,0.184,0.322,0.398,0.067,0.465,1.181,0.783,23.26,2.764,1.244,6.771,5.263,0.526,0.0,0.526,0.539,0.05,0.589,0.629,1.053,19.211,2.105,1.053,5.789,-0.218,0.019,-0.184,0.204,0.141,-0.017,0.124,-0.552,0.27,-4.049,-0.659,-0.191,-0.982
603,Diouf,WHU,DEF,2706,4,3.459,2.362,-1.097,0.019,0.018,-0.001,0.083,0.066,-0.017,0.102,0.084,-0.018,0.0,0.0,0.0,🧊 Cold,0.692,3.459,0.0,0.2,0.299,0.019,0.083,0.102,1.452,0.1,12.672,5.355,1.463,6.818,2.362,0.0,0.0,0.262,0.018,0.066,0.084,1.74,0.0,12.595,3.673,1.574,5.248,-1.097,0.0,-0.2,-0.037,-0.001,-0.017,-0.018,0.288,-0.1,-0.077,-1.682,0.111,-1.57
606,Mavropanos,WHU,DEF,2532,4,4.336,3.5,-0.836,0.088,0.012,-0.076,0.025,0.028,0.003,0.113,0.04,-0.073,0.0,0.0,0.0,Neutral,0.867,4.336,0.107,0.0,0.213,0.088,0.025,0.113,1.458,0.178,13.72,9.704,1.422,11.126,3.5,0.0,0.0,0.25,0.012,0.028,0.04,1.692,0.0,13.25,10.25,1.25,11.5,-0.836,-0.107,0.0,0.037,-0.076,0.003,-0.073,0.234,-0.178,-0.47,0.546,-0.172,0.374
613,Souček,WHU,MID,2190,4,4.233,2.169,-2.064,0.235,0.268,0.033,0.021,0.024,0.003,0.257,0.293,0.036,0.0,0.0,0.0,🧊 Cold,0.847,4.233,0.205,0.082,0.288,0.235,0.021,0.257,1.581,0.37,17.589,4.726,1.767,9.205,2.169,0.0,0.0,0.271,0.268,0.024,0.293,1.64,0.0,12.199,2.982,2.44,7.861,-2.064,-0.205,-0.082,-0.017,0.033,0.003,0.036,0.059,-0.37,-5.39,-1.744,0.673,-1.344
615,Summerville,WHU,MID,2470,4,4.008,2.521,-1.487,0.198,0.076,-0.122,0.122,0.151,0.029,0.32,0.227,-0.093,0.0,0.0,0.0,🧊 Cold,0.802,4.008,0.182,0.146,0.291,0.198,0.122,0.32,1.369,0.364,15.012,1.822,1.64,7.834,2.521,0.0,0.252,0.252,0.076,0.151,0.227,1.682,0.0,14.37,0.756,2.773,7.563,-1.487,-0.182,0.106,-0.039,-0.122,0.029,-0.093,0.313,-0.364,-0.642,-1.066,1.133,-0.271
624,Bowen,WHU,FWD,3406,4,4.941,4.538,-0.403,0.191,0.141,-0.05,0.138,0.121,-0.017,0.328,0.262,-0.066,0.0,0.0,0.0,Neutral,0.988,4.941,0.238,0.344,0.211,0.191,0.138,0.328,1.537,0.74,19.316,1.929,1.295,7.425,4.538,0.252,0.252,0.252,0.141,0.121,0.262,1.682,0.756,19.916,0.756,1.008,5.546,-0.403,0.014,-0.092,0.041,-0.05,-0.017,-0.066,0.145,0.016,0.6,-1.173,-0.287,-1.879
634,Mosquera,WOL,DEF,2137,4,2.569,2.5,-0.069,0.106,0.215,0.109,0.026,0.022,-0.004,0.132,0.238,0.106,0.0,0.0,0.0,Neutral,0.514,2.569,0.0,0.0,0.168,0.106,0.026,0.132,1.534,0.126,8.802,6.696,2.527,9.223,2.5,0.0,0.0,0.0,0.215,0.022,0.238,1.212,0.0,3.25,8.25,2.5,10.75,-0.069,0.0,0.0,-0.168,0.109,-0.004,0.106,-0.322,-0.126,-5.552,1.554,-0.027,1.527
636,S.Bueno,WOL,DEF,2552,4,3.245,3.75,0.505,0.08,0.128,0.048,0.051,0.098,0.047,0.132,0.225,0.093,0.0,0.0,0.0,Neutral,0.649,3.245,0.106,0.071,0.141,0.08,0.051,0.132,1.542,0.141,10.933,5.819,1.799,7.618,3.75,0.25,0.0,0.0,0.128,0.098,0.225,1.212,0.5,7.25,7.0,0.25,7.25,0.505,0.144,-0.071,-0.141,0.048,0.047,0.093,-0.33,0.359,-3.683,1.181,-1.549,-0.368
642,Hee Chan,WOL,MID,1439,3,3.377,2.461,-0.916,0.148,0.081,-0.067,0.098,0.225,0.127,0.246,0.306,0.06,0.0,0.0,0.0,🧊 Cold,0.675,3.377,0.125,0.125,0.125,0.148,0.098,0.246,1.462,0.0,10.32,1.814,0.625,6.004,2.461,0.0,0.352,0.0,0.081,0.225,0.306,1.431,0.0,11.25,2.109,0.352,8.438,-0.916,-0.125,0.227,-0.125,-0.067,0.127,0.06,-0.031,0.0,0.93,0.295,-0.273,2.434
643,André,WOL,MID,2760,4,3.13,2.5,-0.63,0.017,0.018,0.001,0.032,0.035,0.003,0.049,0.052,0.003,0.0,0.0,0.0,🧊 Cold,0.626,3.13,0.033,0.0,0.065,0.017,0.032,0.049,1.542,0.13,15.424,2.935,2.641,12.489,2.5,0.0,0.0,0.0,0.018,0.035,0.052,1.212,0.0,11.5,2.5,1.75,11.75,-0.63,-0.033,0.0,-0.065,0.001,0.003,0.003,-0.33,-0.13,-3.924,-0.435,-0.891,-0.739
646,J.Gomes,WOL,MID,2829,3,3.404,2.687,-0.717,0.041,0.01,-0.031,0.066,0.064,-0.002,0.108,0.074,-0.034,0.0,0.0,0.0,🧊 Cold,0.681,3.404,0.032,0.064,0.127,0.041,0.066,0.108,1.546,0.191,16.829,2.768,3.404,12.312,2.687,0.0,0.0,0.0,0.01,0.064,0.074,1.3,0.0,12.761,3.358,3.694,11.418,-0.717,-0.032,-0.064,-0.127,-0.031,-0.002,-0.034,-0.246,-0.191,-4.068,0.59,0.29,-0.894
654,Strand Larsen,CRY,FWD,2301,3,2.934,2.739,-0.195,0.207,0.188,-0.019,0.044,0.113,0.069,0.251,0.301,0.05,0.0,0.0,0.0,Neutral,0.587,2.934,0.156,0.039,0.196,0.207,0.044,0.251,1.409,0.117,8.409,1.917,0.352,3.716,2.739,0.0,0.0,0.0,0.188,0.113,0.301,1.542,0.0,6.261,1.565,0.0,2.348,-0.195,-0.156,-0.039,-0.196,-0.019,0.069,0.05,0.133,-0.117,-2.148,-0.352,-0.352,-1.368
660,Stach,LEE,MID,2369,3,5.205,5.769,0.564,0.109,0.146,0.037,0.17,0.069,-0.101,0.279,0.215,-0.064,0.0,0.0,0.0,Neutral,1.041,5.205,0.19,0.228,0.266,0.109,0.17,0.279,1.294,0.532,20.895,3.077,2.469,10.106,5.769,0.385,0.0,0.385,0.146,0.069,0.215,1.469,1.154,20.0,1.923,3.077,8.077,0.564,0.195,-0.228,0.119,0.037,-0.101,-0.064,0.175,0.622,-0.895,-1.154,0.608,-2.029
668,Xhaka,SUN,MID,2901,4,3.847,4.25,0.403,0.031,0.028,-0.003,0.116,0.205,0.089,0.147,0.232,0.085,0.0,0.0,0.0,Neutral,0.769,3.847,0.031,0.186,0.279,0.031,0.116,0.147,1.417,0.248,18.707,4.157,1.551,11.231,4.25,0.0,0.25,0.25,0.028,0.205,0.232,1.068,0.75,19.0,2.75,1.25,12.0,0.403,-0.031,0.064,-0.029,-0.003,0.089,0.085,-0.349,0.502,0.293,-1.407,-0.301,0.769
670,Roefs,SUN,GKP,3150,4,3.886,3.5,-0.386,0.0,0.0,0.0,0.003,0.0,-0.003,0.003,0.0,-0.003,3.114,3.0,-0.114,Neutral,0.777,3.886,0.0,0.0,0.286,0.0,0.003,0.003,1.43,0.343,16.371,1.057,0.0,0.0,3.5,0.0,0.0,0.25,0.0,0.0,0.0,1.068,0.0,16.75,1.0,0.0,0.0,-0.386,0.0,0.0,-0.036,0.0,-0.003,-0.003,-0.362,-0.343,0.379,-0.057,0.0,0.0
