team,team_id,gw,fixture_id,was_home,opponent,fdr,finished,scored,conceded
WHU,19,11,110,1,BUR,1,True,3,2
BUR,3,11,110,0,WHU,3,True,2,3
SUN,17,11,108,1,ARS,4,True,2,2
ARS,1,11,108,0,SUN,3,True,2,2
CHE,7,11,103,1,WOL,1,True,3,0
WOL,20,11,103,0,CHE,4,True,0,3
AVL,2,11,101,1,BOU,3,True,4,0
BOU,4,11,101,0,AVL,4,True,0,4
BRE,5,11,102,1,NEW,3,True,3,1
NEW,15,11,102,0,BRE,3,True,1,3
CRY,8,11,104,1,BHA,3,True,0,0
BHA,6,11,104,0,CRY,3,True,0,0
NFO,16,11,107,1,LEE,2,True,3,1
LEE,11,11,107,0,NFO,3,True,1,3
MCI,13,11,106,1,LIV,4,True,3,0
LIV,12,11,106,0,MCI,5,True,0,3
BUR,3,12,114,1,CHE,3,True,0,2
CHE,7,12,114,0,BUR,2,True,2,0
BOU,4,12,112,1,WHU,2,True,2,2
WHU,19,12,112,0,BOU,3,True,2,2
BHA,6,12,113,1,BRE,3,True,2,1
BRE,5,12,113,0,BHA,4,True,1,2
FUL,10,12,115,1,SUN,2,True,1,0
SUN,17,12,115,0,FUL,3,True,0,1
LIV,12,12,117,1,NFO,3,True,0,3
NFO,16,12,117,0,LIV,4,True,3,0
WOL,20,12,120,1,CRY,3,True,0,2
CRY,8,12,120,0,WOL,2,True,2,0
NEW,15,12,119,1,MCI,4,True,2,1
MCI,13,12,119,0,NEW,3,True,1,2
LEE,11,12,116,1,AVL,3,True,1,2
AVL,2,12,116,0,LEE,3,True,2,1
ARS,1,12,111,1,TOT,3,True,4,1
TOT,18,12,111,0,ARS,5,True,1,4
MUN,14,12,118,1,EVE,3,True,0,1
EVE,9,12,118,0,MUN,4,True,1,0
BRE,5,13,122,1,BUR,1,True,3,1
BUR,3,13,122,0,BRE,3,True,1,3
MCI,13,13,126,1,LEE,2,True,3,2
LEE,11,13,126,0,MCI,5,True,2,3
SUN,17,13,128,1,BOU,3,True,3,2
BOU,4,13,128,0,SUN,3,True,2,3
EVE,9,13,125,1,NEW,3,True,1,4
NEW,15,13,125,0,EVE,3,True,4,1
TOT,18,13,129,1,FUL,2,True,1,2
FUL,10,13,129,0,TOT,3,True,2,1
CRY,8,13,124,1,MUN,4,True,1,2
MUN,14,13,124,0,CRY,3,True,2,1
AVL,2,13,121,1,WOL,1,True,1,0
WOL,20,13,121,0,AVL,4,True,0,1
NFO,16,13,127,1,BHA,3,True,0,2
BHA,6,13,127,0,NFO,3,True,2,0
WHU,19,13,130,1,LIV,4,True,0,2
LIV,12,13,130,0,WHU,3,True,2,0
CHE,7,13,123,1,ARS,4,True,1,1
ARS,1,13,123,0,CHE,4,True,1,1
BOU,4,14,132,1,EVE,3,True,0,1
EVE,9,14,132,0,BOU,3,True,1,0
FUL,10,14,135,1,MCI,4,True,4,5
MCI,13,14,135,0,FUL,3,True,5,4
NEW,15,14,139,1,TOT,3,True,2,2
TOT,18,14,139,0,NEW,3,True,2,2
ARS,1,14,131,1,BRE,3,True,2,0
BRE,5,14,131,0,ARS,5,True,0,2
BHA,6,14,133,1,AVL,3,True,3,4
AVL,2,14,133,0,BHA,4,True,4,3
BUR,3,14,134,1,CRY,3,True,0,1
CRY,8,14,134,0,BUR,2,True,1,0
WOL,20,14,140,1,NFO,3,True,0,1
NFO,16,14,140,0,WOL,2,True,1,0
LEE,11,14,136,1,CHE,3,True,3,1
CHE,7,14,136,0,LEE,3,True,1,3
LIV,12,14,137,1,SUN,2,True,1,1
SUN,17,14,137,0,LIV,4,True,1,1
MUN,14,14,138,1,WHU,2,True,1,1
WHU,19,14,138,0,MUN,4,True,1,1
AVL,2,15,141,1,ARS,4,True,2,1
ARS,1,15,141,0,AVL,4,True,1,2
BOU,4,15,142,1,CHE,3,True,0,0
CHE,7,15,142,0,BOU,3,True,0,0
EVE,9,15,144,1,NFO,3,True,3,0
NFO,16,15,144,0,EVE,3,True,0,3
MCI,13,15,147,1,SUN,2,True,3,0
SUN,17,15,147,0,MCI,5,True,0,3
NEW,15,15,148,1,BUR,1,True,2,1
BUR,3,15,148,0,NEW,3,True,1,2
TOT,18,15,149,1,BRE,3,True,2,0
BRE,5,15,149,0,TOT,3,True,0,2
LEE,11,15,146,1,LIV,4,True,3,3
LIV,12,15,146,0,LEE,3,True,3,3
BHA,6,15,143,1,WHU,2,True,1,1
WHU,19,15,143,0,BHA,4,True,1,1
FUL,10,15,145,1,CRY,3,True,1,2
CRY,8,15,145,0,FUL,3,True,2,1
WOL,20,15,150,1,MUN,4,True,1,4
MUN,14,15,150,0,WOL,2,True,4,1
CHE,7,16,154,1,EVE,3,True,2,0
EVE,9,16,154,0,CHE,4,True,0,2
LIV,12,16,156,1,BHA,3,True,2,0
BHA,6,16,156,0,LIV,4,True,0,2
BUR,3,16,153,1,FUL,2,True,2,3
FUL,10,16,153,0,BUR,2,True,3,2
ARS,1,16,151,1,WOL,1,True,2,1
WOL,20,16,151,0,ARS,5,True,1,2
CRY,8,16,155,1,MCI,4,True,0,3
MCI,13,16,155,0,CRY,3,True,3,0
NFO,16,16,158,1,TOT,3,True,3,0
TOT,18,16,158,0,NFO,3,True,0,3
SUN,17,16,159,1,NEW,3,True,1,0
NEW,15,16,159,0,SUN,3,True,0,1
WHU,19,16,160,1,AVL,3,True,2,3
AVL,2,16,160,0,WHU,3,True,3,2
BRE,5,16,152,1,LEE,2,True,1,1
LEE,11,16,152,0,BRE,3,True,1,1
MUN,14,16,157,1,BOU,3,True,4,4
BOU,4,16,157,0,MUN,4,True,4,4
NEW,15,17,168,1,CHE,3,True,2,2
CHE,7,17,168,0,NEW,3,True,2,2
BOU,4,17,162,1,BUR,1,True,1,1
BUR,3,17,162,0,BOU,3,True,1,1
BHA,6,17,163,1,SUN,2,True,0,0
SUN,17,17,163,0,BHA,4,True,0,0
MCI,13,17,167,1,WHU,2,True,3,0
WHU,19,17,167,0,MCI,5,True,0,3
