element,web_name,team,position,fdr_level,games_played,avg_pts,avg_xg,avg_xa,avg_minutes,goals,assists,clean_sheets
90,Scott,BOU,MID,3,20,3.25,0.068,0.11,73.6,1,0,8
90,Scott,BOU,MID,4,9,2.78,0.056,0.052,82.6,0,1,0
90,Scott,BOU,MID,5,2,8.5,0.195,0.055,81.0,1,1,0
97,Evanilson,BOU,FWD,1,2,2.0,0.0,0.035,74.5,0,0,2
97,Evanilson,BOU,FWD,2,7,3.29,0.409,0.024,81.6,1,2,2
97,Evanilson,BOU,FWD,3,20,2.65,0.261,0.051,66.4,2,4,6
97,Evanilson,BOU,FWD,4,9,3.89,0.417,0.031,83.9,3,1,1
97,Evanilson,BOU,FWD,5,2,3.0,0.02,0.015,58.5,0,1,0
100,Kroupi.Jr,BOU,FWD,1,2,1.0,0.025,0.005,14.0,0,0,0
100,Kroupi.Jr,BOU,FWD,2,7,3.29,0.256,0.11,64.0,2,0,3
100,Kroupi.Jr,BOU,FWD,3,20,3.1,0.23,0.036,44.7,7,0,6
100,Kroupi.Jr,BOU,FWD,4,9,3.11,0.144,0.024,31.7,4,0,2
100,Kroupi.Jr,BOU,FWD,5,2,4.0,0.455,0.03,72.5,1,0,0
101,Kelleher,BRE,GKP,1,2,1.5,0.0,0.09,90.0,0,0,0
101,Kelleher,BRE,GKP,2,6,7.17,0.0,0.0,75.0,0,0,4
101,Kelleher,BRE,GKP,3,19,2.95,0.0,0.002,90.0,0,0,5
101,Kelleher,BRE,GKP,4,9,4.0,0.0,0.0,90.0,0,0,1
101,Kelleher,BRE,GKP,5,2,2.5,0.0,0.005,90.0,0,0,0
106,Collins,BRE,DEF,1,2,2.0,0.32,0.01,90.0,0,0,0
106,Collins,BRE,DEF,2,6,6.17,0.055,0.013,75.0,0,1,4
106,Collins,BRE,DEF,3,19,3.79,0.056,0.047,82.9,1,1,5
106,Collins,BRE,DEF,4,9,1.56,0.023,0.08,73.3,0,0,0
106,Collins,BRE,DEF,5,2,1.0,0.0,0.0,53.0,0,0,0
107,Lewis-Potter,BRE,DEF,1,2,2.5,0.04,0.12,45.5,0,1,0
107,Lewis-Potter,BRE,DEF,2,6,8.5,0.227,0.152,68.0,2,1,5
107,Lewis-Potter,BRE,DEF,3,19,2.11,0.042,0.046,54.3,0,1,4
107,Lewis-Potter,BRE,DEF,4,9,1.89,0.081,0.051,35.9,1,1,0
107,Lewis-Potter,BRE,DEF,5,2,1.0,0.025,0.01,53.0,0,0,0
110,Kayode,BRE,DEF,1,2,5.0,0.18,0.1,90.0,1,0,0
110,Kayode,BRE,DEF,2,6,4.67,0.0,0.07,88.5,0,0,4
110,Kayode,BRE,DEF,3,19,2.95,0.006,0.088,81.9,0,2,5
110,Kayode,BRE,DEF,4,9,1.89,0.09,0.059,90.0,0,0,1
110,Kayode,BRE,DEF,5,2,1.0,0.0,0.035,90.0,0,0,0
119,Mbeumo,MUN,MID,1,2,5.0,0.33,0.33,45.0,1,0,0
119,Mbeumo,MUN,MID,2,6,3.17,0.302,0.113,61.0,1,1,1
119,Mbeumo,MUN,MID,3,21,3.48,0.273,0.125,72.1,5,2,4
119,Mbeumo,MUN,MID,4,7,4.86,0.42,0.12,69.0,3,0,3
119,Mbeumo,MUN,MID,5,2,6.0,0.415,0.09,79.0,1,0,0
120,Schade,BRE,MID,1,2,2.5,0.0,0.03,70.5,0,0,1
120,Schade,BRE,MID,2,6,3.67,0.392,0.102,70.0,1,1,4
120,Schade,BRE,MID,3,19,3.84,0.377,0.049,73.8,5,3,6
120,Schade,BRE,MID,4,9,2.44,0.259,0.05,70.2,2,1,0
120,Schade,BRE,MID,5,2,1.5,0.115,0.0,74.5,0,0,0
121,Damsgaard,BRE,MID,1,2,3.0,0.115,0.2,80.5,0,0,0
121,Damsgaard,BRE,MID,2,6,6.67,0.23,0.15,59.0,3,2,2
121,Damsgaard,BRE,MID,3,19,2.16,0.041,0.128,49.5,1,1,3
121,Damsgaard,BRE,MID,4,9,2.33,0.026,0.183,54.9,0,1,0
121,Damsgaard,BRE,MID,5,2,2.5,0.0,0.02,48.5,0,0,0
126,Jensen,BRE,MID,1,2,2.0,0.0,0.02,87.0,0,0,0
126,Jensen,BRE,MID,2,6,2.83,0.038,0.365,81.3,0,0,5
126,Jensen,BRE,MID,3,19,2.32,0.071,0.133,50.3,1,2,3
126,Jensen,BRE,MID,4,9,3.0,0.069,0.142,52.3,2,0,1
126,Jensen,BRE,MID,5,2,3.0,0.005,0.015,75.0,0,0,0
129,Yarmoliuk,BRE,MID,1,2,1.0,0.0,0.05,13.5,0,0,0
129,Yarmoliuk,BRE,MID,2,6,3.5,0.068,0.04,73.5,1,0,4
129,Yarmoliuk,BRE,MID,3,19,3.0,0.027,0.051,77.1,0,2,4
129,Yarmoliuk,BRE,MID,4,9,2.33,0.033,0.007,61.2,0,1,0
129,Yarmoliuk,BRE,MID,5,2,1.5,0.0,0.015,84.0,0,0,0
136,Thiago,BRE,FWD,1,2,9.5,1.51,0.01,90.0,3,0,0
136,Thiago,BRE,FWD,2,6,5.0,0.56,0.037,88.5,4,0,4
136,Thiago,BRE,FWD,3,19,5.05,0.466,0.063,87.6,11,1,5
136,Thiago,BRE,FWD,4,9,3.67,0.574,0.043,87.3,4,0,1
136,Thiago,BRE,FWD,5,2,1.5,0.095,0.005,60.0,0,0,0
139,Verbruggen,BHA,GKP,1,2,6.5,0.0,0.0,90.0,0,0,2
139,Verbruggen,BHA,GKP,2,6,5.33,0.0,0.0,90.0,0,0,3
139,Verbruggen,BHA,GKP,3,22,3.36,0.0,0.003,90.0,0,0,6
139,Verbruggen,BHA,GKP,4,8,1.88,0.0,0.0,90.0,0,0,0
139,Verbruggen,BHA,GKP,5,2,2.0,0.0,0.0,90.0,0,0,0
145,De Cuyper,BHA,DEF,1,2,8.0,0.025,0.575,53.5,0,2,1
145,De Cuyper,BHA,DEF,2,6,2.83,0.012,0.145,40.7,0,0,2
145,De Cuyper,BHA,DEF,3,22,2.0,0.038,0.064,34.0,1,2,2
145,De Cuyper,BHA,DEF,4,8,1.25,0.088,0.092,24.8,1,0,0
145,De Cuyper,BHA,DEF,5,2,1.0,0.0,0.005,67.5,0,0,0
146,Dunk,BHA,DEF,1,2,10.0,0.18,0.04,90.0,1,0,2
146,Dunk,BHA,DEF,2,6,1.67,0.027,0.007,60.0,0,0,1
146,Dunk,BHA,DEF,3,22,2.59,0.043,0.013,67.6,0,0,4
146,Dunk,BHA,DEF,4,8,1.25,0.045,0.014,78.8,0,1,0
146,Dunk,BHA,DEF,5,2,1.5,0.0,0.02,90.0,0,0,0
148,F.Kadıoğlu,BHA,DEF,1,2,7.5,0.0,0.26,90.0,0,0,2
148,F.Kadıoğlu,BHA,DEF,2,6,3.5,0.033,0.067,77.2,0,0,3
148,F.Kadıoğlu,BHA,DEF,3,22,3.95,0.079,0.085,84.4,2,2,6
148,F.Kadıoğlu,BHA,DEF,4,8,1.0,0.039,0.044,78.8,0,0,0
148,F.Kadıoğlu,BHA,DEF,5,2,1.5,0.105,0.13,90.0,0,0,0
151,Van Hecke,BHA,DEF,1,2,6.0,0.05,0.01,90.0,0,0,2
151,Van Hecke,BHA,DEF,2,6,5.0,0.062,0.075,75.0,1,1,2
151,Van Hecke,BHA,DEF,3,22,4.23,0.12,0.035,85.9,2,3,6
151,Van Hecke,BHA,DEF,4,8,2.38,0.046,0.049,86.2,0,0,1
151,Van Hecke,BHA,DEF,5,2,3.0,0.005,0.005,90.0,0,0,0
160,Minteh,BHA,MID,1,2,4.5,0.11,0.055,45.0,1,0,1
160,Minteh,BHA,MID,2,6,3.83,0.078,0.103,77.5,0,2,5
160,Minteh,BHA,MID,3,22,3.09,0.094,0.155,64.6,2,4,6
160,Minteh,BHA,MID,4,8,2.5,0.125,0.15,66.8,0,2,0
160,Minteh,BHA,MID,5,2,0.5,0.04,0.05,22.5,0,0,0
163,Hinshelwood,BHA,MID,1,2,4.0,0.12,0.015,43.5,1,0,1
163,Hinshelwood,BHA,MID,2,6,1.17,0.075,0.067,29.0,0,0,2
163,Hinshelwood,BHA,MID,3,22,3.0,0.217,0.04,46.4,4,4,5
163,Hinshelwood,BHA,MID,4,8,1.62,0.058,0.115,56.8,0,1,0
163,Hinshelwood,BHA,MID,5,2,3.5,0.04,0.085,82.0,0,0,0
167,Baleba,BHA,MID,1,2,2.5,0.045,0.005,37.5,0,0,1
167,Baleba,BHA,MID,2,6,1.33,0.005,0.005,46.2,0,0,2
167,Baleba,BHA,MID,3,22,1.68,0.015,0.043,45.2,0,0,5
167,Baleba,BHA,MID,4,8,1.12,0.042,0.009,48.6,0,0,0
167,Baleba,BHA,MID,5,2,0.0,0.0,0.0,0.0,0,0,0
178,Welbeck,BHA,FWD,1,2,1.5,0.13,0.005,47.0,0,0,1
178,Welbeck,BHA,FWD,2,6,2.0,0.342,0.015,59.3,1,0,2
178,Welbeck,BHA,FWD,3,22,3.68,0.383,0.043,65.0,8,1,6
178,Welbeck,BHA,FWD,4,8,4.5,0.26,0.045,52.8,5,0,1
178,Welbeck,BHA,FWD,5,2,1.0,0.0,0.005,14.0,0,0,0
183,Weiss,BUR,GKP,2,5,0.0,0.0,0.0,0.0,0,0,0
183,Weiss,BUR,GKP,3,22,0.09,0.0,0.0,4.1,0,0,0
183,Weiss,BUR,GKP,4,10,0.0,0.0,0.0,0.0,0,0,0
183,Weiss,BUR,GKP,5,2,1.0,0.0,0.0,45.0,0,0,0
187,Walker,BUR,DEF,2,5,4.8,0.0,0.042,72.0,0,1,2
187,Walker,BUR,DEF,3,22,1.59,0.002,0.037,81.4,0,1,2
187,Walker,BUR,DEF,4,10,0.9,0.008,0.024,85.5,0,0,0
187,Walker,BUR,DEF,5,2,0.5,0.015,0.015,90.0,0,0,0
191,Estève,BUR,DEF,2,5,3.4,0.044,0.006,88.4,0,0,2
191,Estève,BUR,DEF,3,22,2.45,0.015,0.012,77.6,0,0,1
191,Estève,BUR,DEF,4,10,2.0,0.022,0.03,79.3,0,0,0
191,Estève,BUR,DEF,5,2,0.0,0.01,0.0,85.5,0,0,0
195,Lucas Pires,BUR,DEF,2,5,0.2,0.0,0.044,18.0,0,0,0
195,Lucas Pires,BUR,DEF,3,22,0.64,0.01,0.044,37.3,0,0,1
195,Lucas Pires,BUR,DEF,4,10,0.7,0.012,0.008,31.5,0,0,0
195,Lucas Pires,BUR,DEF,5,2,0.5,0.0,0.07,45.0,0,0,0
198,Tuanzebe,BUR,DEF,2,5,2.0,0.0,0.016,51.2,0,0,1
198,Tuanzebe,BUR,DEF,3,22,0.55,0.028,0.0,22.5,1,0,0
198,Tuanzebe,BUR,DEF,4,10,0.8,0.0,0.002,27.0,0,0,0
198,Tuanzebe,BUR,DEF,5,2,1.0,0.0,0.0,45.0,0,0,0
200,Anthony,BUR,MID,2,5,4.0,0.192,0.014,65.2,1,1,2
200,Anthony,BUR,MID,3,22,3.32,0.14,0.109,70.4,4,3,1
200,Anthony,BUR,MID,4,10,2.8,0.098,0.031,75.0,2,0,1
200,Anthony,BUR,MID,5,2,4.0,0.06,0.05,88.5,1,0,0
207,Hannibal,BUR,MID,2,5,2.2,0.008,0.128,36.0,0,1,1
207,Hannibal,BUR,MID,3,22,1.77,0.018,0.048,29.5,1,4,1
207,Hannibal,BUR,MID,4,10,0.6,0.02,0.007,25.3,0,0,0
207,Hannibal,BUR,MID,5,2,1.0,0.055,0.005,35.5,0,0,0
210,Tchaouna,BUR,MID,2,5,1.6,0.022,0.008,12.4,1,0,0
210,Tchaouna,BUR,MID,3,22,1.41,0.039,0.03,35.2,1,0,1
210,Tchaouna,BUR,MID,4,10,1.4,0.022,0.016,28.5,0,1,1
210,Tchaouna,BUR,MID,5,2,2.0,0.035,0.01,71.0,0,0,0
215,Flemming,BUR,FWD,2,5,3.8,0.278,0.01,52.8,2,0,1
215,Flemming,BUR,FWD,3,22,2.68,0.286,0.013,52.4,7,0,2
215,Flemming,BUR,FWD,4,10,2.0,0.058,0.004,33.7,2,0,0
215,Flemming,BUR,FWD,5,2,0.5,0.0,0.015,45.0,0,0,0
220,Sánchez,CHE,GKP,1,2,4.0,0.0,0.0,90.0,0,0,1
220,Sánchez,CHE,GKP,2,6,3.0,0.0,0.003,90.0,0,0,2
220,Sánchez,CHE,GKP,3,20,3.85,0.0,0.0,88.8,0,1,6
220,Sánchez,CHE,GKP,4,10,1.2,0.0,0.001,63.4,0,0,0
220,Sánchez,CHE,GKP,5,2,1.0,0.0,0.0,45.0,0,0,0
224,Cucurella,CHE,DEF,1,2,3.0,0.025,0.025,45.0,0,0,1
224,Cucurella,CHE,DEF,2,6,4.17,0.188,0.123,75.0,1,1,2
224,Cucurella,CHE,DEF,3,20,3.0,0.027,0.068,77.6,0,2,6
224,Cucurella,CHE,DEF,4,10,1.6,0.062,0.114,79.4,0,1,0
224,Cucurella,CHE,DEF,5,2,0.0,0.0,0.0,0.0,0,0,0
228,Gusto,CHE,DEF,1,2,10.5,0.31,0.12,77.5,1,0,2
228,Gusto,CHE,DEF,2,6,1.67,0.06,0.072,59.5,0,0,1
228,Gusto,CHE,DEF,3,20,2.15,0.028,0.066,50.6,1,1,4
228,Gusto,CHE,DEF,4,10,2.2,0.002,0.136,79.7,0,2,0
228,Gusto,CHE,DEF,5,2,1.5,0.0,0.005,52.5,0,0,0
230,Fofana,CHE,DEF,1,2,2.5,0.065,0.025,80.5,0,0,1
230,Fofana,CHE,DEF,2,6,1.17,0.0,0.075,24.3,0,1,0
230,Fofana,CHE,DEF,3,20,1.8,0.005,0.004,43.8,0,0,3
230,Fofana,CHE,DEF,4,10,1.9,0.061,0.004,66.1,0,1,0
230,Fofana,CHE,DEF,5,2,0.0,0.0,0.0,0.0,0,0,0
235,Palmer,CHE,MID,1,2,1.5,0.2,0.11,37.0,0,0,1
235,Palmer,CHE,MID,2,6,5.67,0.688,0.097,40.0,4,1,0
235,Palmer,CHE,MID,3,20,2.8,0.254,0.053,54.6,5,1,2
235,Palmer,CHE,MID,4,10,2.0,0.111,0.062,46.4,1,0,0
235,Palmer,CHE,MID,5,2,1.5,0.08,0.025,87.5,0,0,0
237,Enzo,CHE,MID,1,2,2.5,0.16,0.275,86.0,0,0,1
237,Enzo,CHE,MID,2,6,6.17,0.457,0.315,90.0,3,1,2
237,Enzo,CHE,MID,3,20,4.1,0.306,0.17,80.6,5,3,5
237,Enzo,CHE,MID,4,10,2.5,0.153,0.147,79.2,1,1,0
237,Enzo,CHE,MID,5,2,6.0,0.455,0.185,87.5,1,0,0
241,Caicedo,CHE,MID,1,2,2.0,0.035,0.06,90.0,0,0,1
241,Caicedo,CHE,MID,2,6,2.5,0.042,0.157,75.0,0,0,1
241,Caicedo,CHE,MID,3,20,3.3,0.044,0.048,70.9,2,1,4
241,Caicedo,CHE,MID,4,10,2.5,0.028,0.037,83.8,1,0,0
241,Caicedo,CHE,MID,5,2,2.0,0.025,0.01,45.0,0,0,0
242,Dewsbury-Hall,EVE,MID,1,2,4.5,0.3,0.015,45.0,1,0,1
242,Dewsbury-Hall,EVE,MID,2,6,4.17,0.055,0.248,67.2,1,2,1
242,Dewsbury-Hall,EVE,MID,3,19,4.42,0.134,0.156,74.8,5,4,5
242,Dewsbury-Hall,EVE,MID,4,9,3.22,0.089,0.091,60.0,1,1,1
242,Dewsbury-Hall,EVE,MID,5,2,2.0,0.04,0.02,87.5,0,0,0
249,João Pedro,CHE,FWD,1,2,7.0,0.815,0.08,80.5,2,0,2
249,João Pedro,CHE,FWD,2,6,6.67,0.408,0.072,76.3,3,4,2
249,João Pedro,CHE,FWD,3,20,4.55,0.356,0.06,70.8,7,4,6
249,João Pedro,CHE,FWD,4,10,2.8,0.314,0.009,47.2,3,1,0
249,João Pedro,CHE,FWD,5,2,2.0,0.285,0.04,75.5,0,0,0
253,Henderson,CRY,GKP,1,2,8.5,0.0,0.005,90.0,0,0,1
