element,web_name,team,position,fdr_level,games_played,avg_pts,avg_xg,avg_xa,avg_minutes,goals,assists,clean_sheets
575,Van de Ven,TOT,DEF,1,2,4.0,0.3,0.07,90.0,0,0,1
575,Van de Ven,TOT,DEF,2,6,3.67,0.043,0.008,90.0,1,1,1
575,Van de Ven,TOT,DEF,3,19,3.95,0.096,0.007,79.5,3,0,6
575,Van de Ven,TOT,DEF,4,9,0.56,0.016,0.006,70.0,0,0,0
575,Van de Ven,TOT,DEF,5,2,3.0,0.0,0.0,90.0,0,0,1
584,Tel,TOT,MID,1,2,1.0,0.0,0.015,5.5,0,0,0
584,Tel,TOT,MID,2,6,2.67,0.117,0.03,49.0,1,0,0
584,Tel,TOT,MID,3,19,2.21,0.065,0.065,38.1,2,1,2
584,Tel,TOT,MID,4,9,2.0,0.06,0.109,33.9,1,1,1
584,Tel,TOT,MID,5,2,0.0,0.0,0.0,0.0,0,0,0
585,Bentancur,TOT,MID,1,2,1.5,0.03,0.015,40.0,0,0,0
585,Bentancur,TOT,MID,2,6,2.17,0.043,0.047,48.3,0,0,1
585,Bentancur,TOT,MID,3,19,2.95,0.019,0.009,54.6,1,1,5
585,Bentancur,TOT,MID,4,9,1.11,0.004,0.04,35.2,0,0,1
585,Bentancur,TOT,MID,5,2,2.0,0.0,0.0,77.5,0,0,1
597,Richarlison,TOT,FWD,1,2,7.5,0.4,0.01,80.5,2,0,1
597,Richarlison,TOT,FWD,2,6,1.5,0.137,0.025,48.2,0,1,0
597,Richarlison,TOT,FWD,3,19,2.11,0.153,0.054,45.0,2,2,4
597,Richarlison,TOT,FWD,4,9,5.0,0.442,0.017,53.6,6,0,1
597,Richarlison,TOT,FWD,5,2,5.0,0.065,0.06,83.5,1,1,1
603,Diouf,WHU,DEF,1,2,3.5,0.015,0.03,90.0,0,0,1
603,Diouf,WHU,DEF,2,5,3.2,0.0,0.03,37.6,0,1,2
603,Diouf,WHU,DEF,3,20,2.65,0.018,0.087,73.4,0,4,4
603,Diouf,WHU,DEF,4,9,2.78,0.021,0.06,86.7,0,1,2
603,Diouf,WHU,DEF,5,2,1.5,0.0,0.015,45.0,0,0,0
606,Mavropanos,WHU,DEF,1,2,10.5,0.175,0.025,45.0,2,0,1
606,Mavropanos,WHU,DEF,2,5,3.8,0.024,0.012,72.0,0,0,2
606,Mavropanos,WHU,DEF,3,20,2.05,0.041,0.008,58.6,0,0,3
606,Mavropanos,WHU,DEF,4,9,4.11,0.13,0.048,90.0,1,0,0
606,Mavropanos,WHU,DEF,5,2,2.0,0.0,0.005,50.5,0,0,0
613,Souček,WHU,MID,1,2,7.5,0.405,0.005,59.0,1,1,1
613,Souček,WHU,MID,2,5,2.0,0.166,0.028,64.4,0,0,2
613,Souček,WHU,MID,3,20,2.35,0.138,0.016,55.8,2,1,4
613,Souček,WHU,MID,4,9,3.33,0.148,0.006,69.2,2,0,0
613,Souček,WHU,MID,5,2,0.5,0.0,0.0,6.0,0,0,0
615,Summerville,WHU,MID,1,2,4.0,0.27,0.02,79.5,0,1,1
615,Summerville,WHU,MID,2,5,5.6,0.224,0.108,83.0,2,1,2
615,Summerville,WHU,MID,3,20,2.8,0.128,0.126,64.9,2,2,3
615,Summerville,WHU,MID,4,9,1.67,0.123,0.027,47.8,1,0,2
615,Summerville,WHU,MID,5,2,1.5,0.05,0.005,84.0,0,0,0
624,Bowen,WHU,FWD,1,2,8.0,0.23,0.065,90.0,0,3,1
624,Bowen,WHU,FWD,2,5,6.4,0.282,0.08,90.0,2,2,2
624,Bowen,WHU,FWD,3,20,4.5,0.182,0.164,89.8,5,4,4
624,Bowen,WHU,FWD,4,9,5.11,0.133,0.154,88.8,2,4,1
624,Bowen,WHU,FWD,5,2,1.5,0.26,0.01,90.0,0,0,0
634,Mosquera,WOL,DEF,2,5,2.8,0.152,0.016,86.2,0,0,1
634,Mosquera,WOL,DEF,3,22,1.64,0.026,0.015,48.7,0,0,3
634,Mosquera,WOL,DEF,4,10,2.0,0.082,0.025,63.5,0,0,1
634,Mosquera,WOL,DEF,5,2,0.0,0.175,0.0,90.0,0,0,0
636,S.Bueno,WOL,DEF,2,5,4.0,0.102,0.076,72.0,1,0,1
636,S.Bueno,WOL,DEF,3,22,2.59,0.044,0.047,75.1,1,1,3
636,S.Bueno,WOL,DEF,4,10,1.9,0.075,0.018,54.0,1,1,1
636,S.Bueno,WOL,DEF,5,2,0.5,0.0,0.0,45.0,0,0,0
642,Hee Chan,WOL,MID,2,5,3.4,0.178,0.21,45.6,1,2,1
642,Hee Chan,WOL,MID,3,22,1.14,0.048,0.016,33.0,1,0,1
642,Hee Chan,WOL,MID,4,10,0.8,0.028,0.011,31.3,0,0,0
642,Hee Chan,WOL,MID,5,2,1.5,0.07,0.025,74.5,0,0,0
643,André,WOL,MID,2,5,2.2,0.018,0.018,66.6,0,0,0
643,André,WOL,MID,3,22,2.36,0.015,0.016,71.3,0,0,2
643,André,WOL,MID,4,10,2.8,0.014,0.047,70.1,1,0,0
643,André,WOL,MID,5,2,2.5,0.0,0.01,90.0,0,0,0
646,J.Gomes,WOL,MID,2,5,1.8,0.052,0.108,63.0,0,0,0
646,J.Gomes,WOL,MID,3,22,3.0,0.035,0.06,76.5,1,2,4
646,J.Gomes,WOL,MID,4,10,2.8,0.02,0.013,71.8,0,0,1
646,J.Gomes,WOL,MID,5,2,4.0,0.025,0.04,90.0,0,0,0
660,Stach,LEE,MID,1,3,3.33,0.093,0.023,23.7,1,0,0
660,Stach,LEE,MID,2,5,4.2,0.078,0.06,50.4,1,1,0
660,Stach,LEE,MID,3,21,3.19,0.083,0.145,66.9,1,4,5
660,Stach,LEE,MID,4,9,4.11,0.052,0.11,61.3,2,1,2
660,Stach,LEE,MID,5,2,1.0,0.0,0.035,45.0,0,0,0
668,Xhaka,SUN,MID,1,2,2.5,0.015,0.03,45.0,0,0,1
668,Xhaka,SUN,MID,2,5,4.6,0.026,0.124,75.8,0,2,1
668,Xhaka,SUN,MID,3,20,3.35,0.026,0.118,82.0,1,4,4
668,Xhaka,SUN,MID,4,9,3.0,0.023,0.076,80.0,0,0,3
668,Xhaka,SUN,MID,5,2,1.0,0.065,0.005,36.0,0,0,0
670,Roefs,SUN,GKP,1,2,6.5,0.0,0.005,90.0,0,0,2
670,Roefs,SUN,GKP,2,5,3.2,0.0,0.006,90.0,0,0,1
670,Roefs,SUN,GKP,3,20,3.55,0.0,0.002,76.5,0,0,4
670,Roefs,SUN,GKP,4,9,3.78,0.0,0.001,90.0,0,0,3
670,Roefs,SUN,GKP,5,2,1.0,0.0,0.005,90.0,0,0,0
672,Hato,CHE,DEF,1,2,0.0,0.02,0.01,5.0,0,0,0
672,Hato,CHE,DEF,2,6,0.17,0.0,0.042,16.0,0,0,0
672,Hato,CHE,DEF,3,20,0.4,0.011,0.008,23.0,0,0,0
672,Hato,CHE,DEF,4,10,1.1,0.004,0.008,65.2,0,0,0
672,Hato,CHE,DEF,5,2,0.5,0.0,0.065,51.0,0,0,0
673,J.Palhinha,TOT,MID,1,2,5.0,0.04,0.005,50.0,1,0,0
673,J.Palhinha,TOT,MID,2,6,2.17,0.145,0.01,32.5,1,0,0
673,J.Palhinha,TOT,MID,3,19,3.05,0.072,0.025,59.1,2,1,4
673,J.Palhinha,TOT,MID,4,9,2.89,0.03,0.011,66.1,0,1,0
673,J.Palhinha,TOT,MID,5,2,9.5,0.07,0.0,90.0,1,1,1
676,Ugochukwu,BUR,MID,2,5,5.2,0.318,0.018,80.0,2,0,2
676,Ugochukwu,BUR,MID,3,22,2.09,0.022,0.01,56.9,0,3,1
676,Ugochukwu,BUR,MID,4,10,2.2,0.026,0.003,59.9,1,0,0
676,Ugochukwu,BUR,MID,5,2,1.5,0.0,0.0,40.5,0,0,0
679,Hermansen,WHU,GKP,1,2,3.5,0.0,0.0,45.0,0,0,1
679,Hermansen,WHU,GKP,2,5,3.4,0.0,0.0,36.0,0,0,2
679,Hermansen,WHU,GKP,3,20,2.15,0.0,0.0,45.0,0,1,4
679,Hermansen,WHU,GKP,4,9,1.0,0.0,0.0,50.0,0,0,0
679,Hermansen,WHU,GKP,5,2,0.0,0.0,0.0,0.0,0,0,0
683,Alderete,SUN,DEF,1,2,6.0,0.0,0.005,87.5,0,0,2
683,Alderete,SUN,DEF,2,5,2.8,0.022,0.042,79.4,0,1,0
683,Alderete,SUN,DEF,3,20,3.4,0.057,0.02,72.7,1,0,5
683,Alderete,SUN,DEF,4,9,3.22,0.039,0.032,65.7,0,0,3
683,Alderete,SUN,DEF,5,2,1.0,0.01,0.0,90.0,0,0,0
684,Thiaw,NEW,DEF,1,2,1.0,0.0,0.005,45.0,0,0,0
684,Thiaw,NEW,DEF,2,6,2.67,0.04,0.045,73.5,0,0,1
684,Thiaw,NEW,DEF,3,19,4.16,0.189,0.032,84.9,4,0,3
684,Thiaw,NEW,DEF,4,9,2.67,0.107,0.007,71.0,0,0,1
684,Thiaw,NEW,DEF,5,2,2.5,0.005,0.01,90.0,0,0,0
686,Ngumoha,LIV,MID,1,2,0.5,0.0,0.09,6.0,0,0,0
686,Ngumoha,LIV,MID,2,6,2.5,0.053,0.138,19.3,1,0,1
686,Ngumoha,LIV,MID,3,21,1.1,0.04,0.04,13.7,1,1,1
686,Ngumoha,LIV,MID,4,7,0.57,0.024,0.024,18.9,0,0,0
686,Ngumoha,LIV,MID,5,2,0.0,0.0,0.0,0.0,0,0,0
691,Calvert-Lewin,LEE,FWD,1,3,4.67,0.513,0.007,90.0,2,0,1
691,Calvert-Lewin,LEE,FWD,2,5,3.8,0.176,0.016,89.2,1,1,2
691,Calvert-Lewin,LEE,FWD,3,20,4.55,0.52,0.039,76.1,10,1,6
691,Calvert-Lewin,LEE,FWD,4,9,2.11,0.413,0.022,68.7,1,0,0
691,Calvert-Lewin,LEE,FWD,5,2,3.5,0.065,0.0,22.5,1,0,0
694,Mukiele,SUN,DEF,1,2,13.0,0.265,0.125,90.0,1,1,2
694,Mukiele,SUN,DEF,2,4,4.0,0.05,0.018,47.8,1,0,0
694,Mukiele,SUN,DEF,3,20,3.7,0.035,0.087,71.2,1,3,4
694,Mukiele,SUN,DEF,4,9,3.67,0.019,0.043,90.0,0,1,3
694,Mukiele,SUN,DEF,5,2,1.0,0.01,0.1,90.0,0,0,0
706,Justin,LEE,DEF,1,3,7.0,0.193,0.033,90.0,1,0,1
706,Justin,LEE,DEF,2,5,2.4,0.034,0.034,43.2,0,0,1
706,Justin,LEE,DEF,3,20,3.15,0.078,0.045,46.2,2,1,4
706,Justin,LEE,DEF,4,9,1.78,0.009,0.007,66.0,0,0,1
708,M.Fernandes,WHU,MID,1,2,1.5,0.0,0.25,87.0,0,0,1
708,M.Fernandes,WHU,MID,2,5,5.8,0.02,0.178,90.0,1,2,2
708,M.Fernandes,WHU,MID,3,18,4.0,0.051,0.038,79.1,2,2,4
708,M.Fernandes,WHU,MID,4,9,2.78,0.092,0.098,89.0,0,0,1
708,M.Fernandes,WHU,MID,5,2,3.0,0.075,0.005,84.0,0,0,0
712,Yeremy,CRY,MID,1,2,2.0,0.18,0.025,47.0,0,0,1
712,Yeremy,CRY,MID,2,6,3.0,0.165,0.145,62.5,1,0,3
712,Yeremy,CRY,MID,3,19,2.05,0.086,0.209,60.6,1,1,2
712,Yeremy,CRY,MID,4,8,1.88,0.192,0.153,49.4,0,1,1
712,Yeremy,CRY,MID,5,3,0.67,0.033,0.003,39.0,0,0,0
714,Woltemade,NEW,FWD,1,2,5.5,0.24,0.005,68.5,1,0,2
714,Woltemade,NEW,FWD,2,6,3.83,0.175,0.083,62.2,1,2,1
714,Woltemade,NEW,FWD,3,18,2.78,0.192,0.03,51.2,4,2,3
714,Woltemade,NEW,FWD,4,7,3.14,0.23,0.014,55.7,2,0,2
714,Woltemade,NEW,FWD,5,2,1.0,0.0,0.19,37.0,0,0,0
719,Lindelöf,AVL,DEF,1,2,0.5,0.0,0.0,3.0,0,0,0
719,Lindelöf,AVL,DEF,2,6,0.33,0.0,0.002,13.5,0,0,0
719,Lindelöf,AVL,DEF,3,17,1.06,0.016,0.004,27.3,0,1,1
719,Lindelöf,AVL,DEF,4,8,0.75,0.0,0.001,28.6,0,0,0
719,Lindelöf,AVL,DEF,5,2,1.0,0.0,0.005,81.0,0,0,0
722,Florentino,BUR,MID,2,4,3.0,0.012,0.02,71.5,0,1,1
722,Florentino,BUR,MID,3,21,1.95,0.008,0.016,51.5,0,0,1
722,Florentino,BUR,MID,4,9,2.56,0.041,0.01,62.9,0,1,0
722,Florentino,BUR,MID,5,2,4.0,0.01,0.005,83.5,0,0,0
723,Canvot,CRY,DEF,1,2,2.5,0.28,0.02,45.0,0,0,1
723,Canvot,CRY,DEF,2,6,4.0,0.002,0.01,35.2,0,0,2
723,Canvot,CRY,DEF,3,19,1.95,0.048,0.012,44.7,0,0,2
723,Canvot,CRY,DEF,4,7,0.86,0.0,0.001,25.7,0,0,0
723,Canvot,CRY,DEF,5,3,1.33,0.103,0.013,60.0,0,0,0
724,Geertruida,SUN,DEF,1,2,1.0,0.0,0.055,12.0,0,0,0
724,Geertruida,SUN,DEF,2,3,1.0,0.023,0.03,56.0,0,0,0
724,Geertruida,SUN,DEF,3,19,1.26,0.024,0.011,47.5,0,0,0
724,Geertruida,SUN,DEF,4,9,2.67,0.03,0.048,53.1,0,0,3
724,Geertruida,SUN,DEF,5,2,1.0,0.0,0.005,54.5,0,0,0
726,Kolo Muani,TOT,FWD,2,6,1.33,0.092,0.098,64.3,0,0,0
726,Kolo Muani,TOT,FWD,3,18,1.28,0.029,0.043,46.0,0,0,3
726,Kolo Muani,TOT,FWD,4,9,2.22,0.111,0.029,46.3,1,1,1
728,Röhl,EVE,MID,1,2,0.5,0.0,0.0,0.5,0,0,0
728,Röhl,EVE,MID,2,5,2.2,0.02,0.014,26.2,1,0,0
728,Röhl,EVE,MID,3,17,0.76,0.019,0.013,19.1,0,0,1
728,Röhl,EVE,MID,4,9,1.0,0.024,0.002,21.7,0,1,1
728,Röhl,EVE,MID,5,2,1.0,0.015,0.02,12.0,0,0,0
730,Brobbey,SUN,FWD,1,2,1.0,0.09,0.0,39.5,0,0,1
730,Brobbey,SUN,FWD,2,3,1.33,0.157,0.06,69.0,0,0,0
730,Brobbey,SUN,FWD,3,19,3.32,0.219,0.008,52.2,6,1,2
730,Brobbey,SUN,FWD,4,9,2.33,0.126,0.032,58.3,1,1,3
730,Brobbey,SUN,FWD,5,2,1.0,0.04,0.02,59.0,0,0,0
733,Lammens,MUN,GKP,2,6,3.0,0.0,0.0,90.0,0,0,1
733,Lammens,MUN,GKP,3,20,2.9,0.0,0.0,81.0,0,0,4
733,Lammens,MUN,GKP,4,6,4.67,0.0,0.0,90.0,0,0,3
733,Lammens,MUN,GKP,5,2,1.0,0.0,0.0,45.0,0,0,0
736,Donnarumma,MCI,GKP,1,2,5.0,0.0,0.0,90.0,0,0,1
736,Donnarumma,MCI,GKP,2,6,5.5,0.0,0.0,90.0,0,0,4
736,Donnarumma,MCI,GKP,3,22,3.59,0.0,0.006,85.9,0,0,9
736,Donnarumma,MCI,GKP,4,8,4.25,0.0,0.0,90.0,0,0,4
749,Mané,WOL,FWD,2,4,6.75,0.103,0.332,88.8,2,1,1
749,Mané,WOL,FWD,3,15,2.0,0.085,0.107,64.7,1,0,3
749,Mané,WOL,FWD,4,9,1.67,0.044,0.051,60.9,0,0,2
749,Mané,WOL,FWD,5,2,3.0,0.06,0.165,47.0,0,1,0
783,Groß,BHA,MID,1,2,3.5,0.14,0.085,54.5,0,1,1
783,Groß,BHA,MID,3,13,5.54,0.065,0.259,89.8,1,6,5
783,Groß,BHA,MID,4,4,2.0,0.057,0.18,90.0,0,0,0
791,Taty,WHU,FWD,2,3,6.0,0.423,0.06,79.7,2,1,2
791,Taty,WHU,FWD,3,8,2.12,0.368,0.062,80.8,1,0,4
791,Taty,WHU,FWD,4,6,2.5,0.137,0.008,69.7,1,0,2
796,Gallagher,TOT,MID,2,4,2.5,0.098,0.072,88.5,0,0,1
796,Gallagher,TOT,MID,3,7,1.71,0.031,0.021,59.9,0,0,1
796,Gallagher,TOT,MID,4,6,3.67,0.103,0.043,68.3,1,1,0
807,Rayan,BOU,MID,2,5,4.0,0.084,0.218,59.6,1,2,1
807,Rayan,BOU,MID,3,9,5.67,0.202,0.089,74.9,5,1,4
807,Rayan,BOU,MID,4,2,2.5,0.38,0.08,84.5,0,0,1
814,Netz,NFO,DEF,1,2,0.0,0.0,0.0,0.0,0,0,0
814,Netz,NFO,DEF,3,6,0.83,0.0,0.068,24.3,0,0,0
814,Netz,NFO,DEF,4,4,1.5,0.0,0.0,51.8,0,0,0
815,Disasi,WHU,DEF,2,2,6.0,0.01,0.005,90.0,0,0,2
815,Disasi,WHU,DEF,3,6,4.33,0.112,0.002,90.0,0,0,3
815,Disasi,WHU,DEF,4,5,1.0,0.082,0.002,88.8,0,0,0
817,Armstrong,WOL,FWD,2,3,3.67,0.51,0.057,78.0,1,0,0
817,Armstrong,WOL,FWD,3,9,2.78,0.138,0.076,84.2,1,2,3
817,Armstrong,WOL,FWD,4,4,1.75,0.008,0.005,82.2,0,0,1
